Away,HW,Home,Total_Runs,awayRuns,date,homeRuns
Pittsburgh Pirates,1,Cincinnati Reds,8,3,March 28 2019,5
Chicago White Sox,1,Kansas City Royals,8,3,March 28 2019,5
Arizona D'Backs,1,Los Angeles Dodgers,17,5,March 28 2019,12
Colorado Rockies,0,Miami Marlins,9,6,March 28 2019,3
St. Louis Cardinals,1,Milwaukee Brewers,9,4,March 28 2019,5
Cleveland Indians,1,Minnesota Twins,2,0,March 28 2019,2
Baltimore Orioles,1,New York Yankees,9,2,March 28 2019,7
Los Angeles Angels,1,Oakland Athletics,4,0,March 28 2019,4
Atlanta Braves,1,Philadelphia Phillies,14,4,March 28 2019,10
San Francisco Giants,1,San Diego Padres,2,0,March 28 2019,2
Boston Red Sox,1,Seattle Mariners,16,4,March 28 2019,12
Houston Astros,0,Tampa Bay Rays,6,5,March 28 2019,1
Chicago Cubs,0,Texas Rangers,16,12,March 28 2019,4
Detroit Tigers,0,Toronto Blue Jays,2,2,March 28 2019,0
New York Mets,0,Washington Nationals,2,2,March 28 2019,0
Arizona D'Backs,0,Los Angeles Dodgers,9,5,March 29 2019,4
Colorado Rockies,0,Miami Marlins,7,6,March 29 2019,1
St. Louis Cardinals,0,Milwaukee Brewers,14,9,March 29 2019,5
Los Angeles Angels,0,Oakland Athletics,8,6,March 29 2019,2
San Francisco Giants,1,San Diego Padres,5,1,March 29 2019,4
Boston Red Sox,0,Seattle Mariners,13,7,March 29 2019,6
Houston Astros,1,Tampa Bay Rays,6,2,March 29 2019,4
Detroit Tigers,1,Toronto Blue Jays,6,0,March 29 2019,6
Chicago White Sox,1,Kansas City Royals,14,6,March 30 2019,8
Arizona D'Backs,1,Los Angeles Dodgers,23,5,March 30 2019,18
Colorado Rockies,1,Miami Marlins,10,3,March 30 2019,7
St. Louis Cardinals,1,Milwaukee Brewers,6,2,March 30 2019,4
Cleveland Indians,0,Minnesota Twins,3,2,March 30 2019,1
Baltimore Orioles,0,New York Yankees,8,5,March 30 2019,3
Los Angeles Angels,1,Oakland Athletics,6,2,March 30 2019,4
Atlanta Braves,1,Philadelphia Phillies,14,6,March 30 2019,8
San Francisco Giants,0,San Diego Padres,5,3,March 30 2019,2
Boston Red Sox,1,Seattle Mariners,11,5,March 30 2019,6
Houston Astros,1,Tampa Bay Rays,4,1,March 30 2019,3
Chicago Cubs,1,Texas Rangers,14,6,March 30 2019,8
Detroit Tigers,1,Toronto Blue Jays,3,0,March 30 2019,3
New York Mets,0,Washington Nationals,19,11,March 30 2019,8
Pittsburgh Pirates,0,Cincinnati Reds,5,5,March 31 2019,0
Chicago White Sox,0,Kansas City Royals,9,6,March 31 2019,3
Arizona D'Backs,1,Los Angeles Dodgers,15,7,March 31 2019,8
Colorado Rockies,1,Miami Marlins,3,0,March 31 2019,3
St. Louis Cardinals,1,Milwaukee Brewers,9,4,March 31 2019,5
Cleveland Indians,1,Minnesota Twins,12,3,March 31 2019,9
Baltimore Orioles,0,New York Yankees,12,7,March 31 2019,5
Los Angeles Angels,1,Oakland Athletics,3,1,March 31 2019,2
Atlanta Braves,1,Philadelphia Phillies,6,1,March 31 2019,5
San Francisco Giants,1,San Diego Padres,4,1,March 31 2019,3
Boston Red Sox,1,Seattle Mariners,18,8,March 31 2019,10
Houston Astros,1,Tampa Bay Rays,4,1,March 31 2019,3
Chicago Cubs,1,Texas Rangers,21,10,March 31 2019,11
Detroit Tigers,0,Toronto Blue Jays,7,4,March 31 2019,3
New York Mets,1,Washington Nationals,11,5,March 31 2019,6
Chicago Cubs,1,Atlanta Braves,8,0,April 1 2019,8
Milwaukee Brewers,0,Cincinnati Reds,7,4,April 1 2019,3
Chicago White Sox,1,Cleveland Indians,8,3,April 1 2019,5
San Francisco Giants,0,Los Angeles Dodgers,6,4,April 1 2019,2
New York Mets,0,Miami Marlins,10,7,April 1 2019,3
Detroit Tigers,1,New York Yankees,4,1,April 1 2019,3
Boston Red Sox,1,Oakland Athletics,7,0,April 1 2019,7
St. Louis Cardinals,0,Pittsburgh Pirates,11,6,April 1 2019,5
Arizona D'Backs,0,San Diego Padres,13,10,April 1 2019,3
Los Angeles Angels,1,Seattle Mariners,9,3,April 1 2019,6
Colorado Rockies,1,Tampa Bay Rays,8,1,April 1 2019,7
Houston Astros,0,Texas Rangers,3,2,April 1 2019,1
Baltimore Orioles,0,Toronto Blue Jays,11,6,April 1 2019,5
Milwaukee Brewers,0,Cincinnati Reds,7,4,April 2 2019,3
Minnesota Twins,0,Kansas City Royals,9,5,April 2 2019,4
San Francisco Giants,1,Los Angeles Dodgers,11,5,April 2 2019,6
New York Mets,0,Miami Marlins,11,6,April 2 2019,5
Detroit Tigers,0,New York Yankees,4,3,April 2 2019,1
Boston Red Sox,1,Oakland Athletics,1,0,April 2 2019,1
Arizona D'Backs,0,San Diego Padres,13,8,April 2 2019,5
Los Angeles Angels,1,Seattle Mariners,3,1,April 2 2019,2
Colorado Rockies,1,Tampa Bay Rays,4,0,April 2 2019,4
Houston Astros,1,Texas Rangers,10,4,April 2 2019,6
Baltimore Orioles,0,Toronto Blue Jays,3,2,April 2 2019,1
Philadelphia Phillies,0,Washington Nationals,10,8,April 2 2019,2
Chicago Cubs,1,Atlanta Braves,10,4,April 3 2019,6
Milwaukee Brewers,0,Cincinnati Reds,1,1,April 3 2019,0
Chicago White Sox,0,Cleveland Indians,11,8,April 3 2019,3
Minnesota Twins,0,Kansas City Royals,13,7,April 3 2019,6
San Francisco Giants,1,Los Angeles Dodgers,8,3,April 3 2019,5
New York Mets,0,Miami Marlins,10,6,April 3 2019,4
Detroit Tigers,0,New York Yankees,3,2,April 3 2019,1
Boston Red Sox,0,Oakland Athletics,9,6,April 3 2019,3
St. Louis Cardinals,0,Pittsburgh Pirates,9,5,April 3 2019,4
Arizona D'Backs,1,San Diego Padres,5,1,April 3 2019,4
Colorado Rockies,0,Tampa Bay Rays,1,1,April 3 2019,0
Houston Astros,1,Texas Rangers,4,0,April 3 2019,4
Baltimore Orioles,1,Toronto Blue Jays,8,3,April 3 2019,5
Philadelphia Phillies,1,Washington Nationals,17,8,April 3 2019,9
Texas Rangers,0,Los Angeles Angels,15,11,April 4 2019,4
Chicago Cubs,1,Atlanta Braves,13,4,April 4 2019,9
New York Yankees,0,Baltimore Orioles,12,8,April 4 2019,4
Toronto Blue Jays,1,Cleveland Indians,5,1,April 4 2019,4
Kansas City Royals,1,Detroit Tigers,9,4,April 4 2019,5
Washington Nationals,0,New York Mets,4,4,April 4 2019,0
Boston Red Sox,1,Oakland Athletics,10,3,April 4 2019,7
Cincinnati Reds,1,Pittsburgh Pirates,2,0,April 4 2019,2
Texas Rangers,1,Los Angeles Angels,4,1,April 5 2019,3
Boston Red Sox,1,Arizona D'Backs,23,8,April 5 2019,15
Miami Marlins,1,Atlanta Braves,4,0,April 5 2019,4
Seattle Mariners,1,Chicago White Sox,18,8,April 5 2019,10
Toronto Blue Jays,1,Cleveland Indians,5,2,April 5 2019,3
Los Angeles Dodgers,0,Colorado Rockies,16,10,April 5 2019,6
Oakland Athletics,1,Houston Astros,5,2,April 5 2019,3
Chicago Cubs,1,Milwaukee Brewers,23,10,April 5 2019,13
Minnesota Twins,1,Philadelphia Phillies,14,4,April 5 2019,10
Cincinnati Reds,1,Pittsburgh Pirates,2,0,April 5 2019,2
Tampa Bay Rays,0,San Francisco Giants,7,5,April 5 2019,2
San Diego Padres,0,St. Louis Cardinals,8,5,April 5 2019,3
Texas Rangers,1,Los Angeles Angels,6,1,April 6 2019,5
Boston Red Sox,1,Arizona D'Backs,9,4,April 6 2019,5
Miami Marlins,0,Atlanta Braves,6,4,April 6 2019,2
New York Yankees,0,Baltimore Orioles,10,6,April 6 2019,4
Seattle Mariners,0,Chicago White Sox,11,9,April 6 2019,2
Toronto Blue Jays,1,Cleveland Indians,9,2,April 6 2019,7
Los Angeles Dodgers,0,Colorado Rockies,9,7,April 6 2019,2
Kansas City Royals,1,Detroit Tigers,11,4,April 6 2019,7
Oakland Athletics,1,Houston Astros,6,0,April 6 2019,6
Chicago Cubs,0,Milwaukee Brewers,22,14,April 6 2019,8
Washington Nationals,1,New York Mets,11,5,April 6 2019,6
Minnesota Twins,0,Philadelphia Phillies,8,6,April 6 2019,2
Cincinnati Reds,1,Pittsburgh Pirates,11,5,April 6 2019,6
Tampa Bay Rays,1,San Francisco Giants,10,4,April 6 2019,6
San Diego Padres,0,St. Louis Cardinals,10,6,April 6 2019,4
Texas Rangers,1,Los Angeles Angels,9,2,April 7 2019,7
Boston Red Sox,0,Arizona D'Backs,1,1,April 7 2019,0
Miami Marlins,1,Atlanta Braves,7,3,April 7 2019,4
New York Yankees,0,Baltimore Orioles,18,15,April 7 2019,3
Seattle Mariners,0,Chicago White Sox,17,12,April 7 2019,5
Toronto Blue Jays,1,Cleveland Indians,4,1,April 7 2019,3
Los Angeles Dodgers,0,Colorado Rockies,18,12,April 7 2019,6
Kansas City Royals,1,Detroit Tigers,4,1,April 7 2019,3
Oakland Athletics,1,Houston Astros,17,8,April 7 2019,9
Chicago Cubs,1,Milwaukee Brewers,6,2,April 7 2019,4
Washington Nationals,0,New York Mets,21,12,April 7 2019,9
Minnesota Twins,1,Philadelphia Phillies,3,1,April 7 2019,2
Cincinnati Reds,1,Pittsburgh Pirates,12,5,April 7 2019,7
Tampa Bay Rays,0,San Francisco Giants,3,3,April 7 2019,0
San Diego Padres,1,St. Louis Cardinals,5,1,April 7 2019,4
Milwaukee Brewers,1,Los Angeles Angels,7,2,April 8 2019,5
Oakland Athletics,1,Baltimore Orioles,16,4,April 8 2019,12
Tampa Bay Rays,0,Chicago White Sox,6,5,April 8 2019,1
Pittsburgh Pirates,1,Chicago Cubs,10,0,April 8 2019,10
Atlanta Braves,0,Colorado Rockies,14,8,April 8 2019,6
New York Yankees,1,Houston Astros,7,3,April 8 2019,4
Seattle Mariners,0,Kansas City Royals,18,13,April 8 2019,5
Washington Nationals,1,Philadelphia Phillies,7,3,April 8 2019,4
San Diego Padres,0,San Francisco Giants,11,6,April 8 2019,5
Los Angeles Dodgers,1,St. Louis Cardinals,7,3,April 8 2019,4
Milwaukee Brewers,1,Los Angeles Angels,19,8,April 9 2019,11
