Away,HW,Home,Total_Runs,awayRuns,date,homeRuns
Baltimore Orioles,0,Toronto Blue Jays,3,2,April 13 2017,1
San Diego Padres,1,Atlanta Braves,7,2,April 14 2017,5
Tampa Bay Rays,0,Boston Red Sox,15,10,April 14 2017,5
Pittsburgh Pirates,0,Chicago Cubs,6,4,April 14 2017,2
Milwaukee Brewers,0,Cincinnati Reds,14,10,April 14 2017,4
Detroit Tigers,0,Cleveland Indians,13,7,April 14 2017,6
Los Angeles Angels,1,Kansas City Royals,8,1,April 14 2017,7
Arizona D'Backs,1,Los Angeles Dodgers,8,1,April 14 2017,7
New York Mets,1,Miami Marlins,5,2,April 14 2017,3
Chicago White Sox,0,Minnesota Twins,3,2,April 14 2017,1
St. Louis Cardinals,1,New York Yankees,7,3,April 14 2017,4
Houston Astros,0,Oakland Athletics,9,7,April 14 2017,2
Texas Rangers,1,Seattle Mariners,3,1,April 14 2017,2
Colorado Rockies,1,San Francisco Giants,10,2,April 14 2017,8
Baltimore Orioles,0,Toronto Blue Jays,10,6,April 14 2017,4
Philadelphia Phillies,1,Washington Nationals,5,2,April 14 2017,3
San Diego Padres,1,Atlanta Braves,6,2,April 15 2017,4
Tampa Bay Rays,1,Boston Red Sox,3,1,April 15 2017,2
Pittsburgh Pirates,0,Chicago Cubs,15,8,April 15 2017,7
Milwaukee Brewers,1,Cincinnati Reds,12,5,April 15 2017,7
Detroit Tigers,1,Cleveland Indians,19,6,April 15 2017,13
Los Angeles Angels,1,Kansas City Royals,5,2,April 15 2017,3
Arizona D'Backs,1,Los Angeles Dodgers,12,4,April 15 2017,8
New York Mets,1,Miami Marlins,9,4,April 15 2017,5
Chicago White Sox,1,Minnesota Twins,6,0,April 15 2017,6
St. Louis Cardinals,1,New York Yankees,5,2,April 15 2017,3
Houston Astros,0,Oakland Athletics,16,10,April 15 2017,6
Texas Rangers,1,Seattle Mariners,5,0,April 15 2017,5
Colorado Rockies,0,San Francisco Giants,5,5,April 15 2017,0
Baltimore Orioles,1,Toronto Blue Jays,3,1,April 15 2017,2
Philadelphia Phillies,0,Washington Nationals,6,4,April 15 2017,2
San Diego Padres,1,Atlanta Braves,11,2,April 16 2017,9
Tampa Bay Rays,1,Boston Red Sox,12,5,April 16 2017,7
Pittsburgh Pirates,0,Chicago Cubs,7,6,April 16 2017,1
Milwaukee Brewers,0,Cincinnati Reds,6,4,April 16 2017,2
Detroit Tigers,0,Cleveland Indians,5,4,April 16 2017,1
Los Angeles Angels,1,Kansas City Royals,1,0,April 16 2017,1
Arizona D'Backs,0,Los Angeles Dodgers,4,3,April 16 2017,1
New York Mets,1,Miami Marlins,6,2,April 16 2017,4
Chicago White Sox,0,Minnesota Twins,4,3,April 16 2017,1
St. Louis Cardinals,1,New York Yankees,12,3,April 16 2017,9
Texas Rangers,1,Seattle Mariners,15,7,April 16 2017,8
Colorado Rockies,0,San Francisco Giants,7,4,April 16 2017,3
Baltimore Orioles,0,Toronto Blue Jays,15,11,April 16 2017,4
Philadelphia Phillies,1,Washington Nationals,10,4,April 16 2017,6
San Diego Padres,1,Atlanta Braves,9,4,April 17 2017,5
Tampa Bay Rays,1,Boston Red Sox,7,3,April 17 2017,4
Milwaukee Brewers,0,Chicago Cubs,9,6,April 17 2017,3
Los Angeles Angels,1,Houston Astros,3,0,April 17 2017,3
Arizona D'Backs,0,Los Angeles Dodgers,6,4,April 17 2017,2
Cleveland Indians,0,Minnesota Twins,4,3,April 17 2017,1
Chicago White Sox,1,New York Yankees,11,4,April 17 2017,7
Texas Rangers,0,Oakland Athletics,7,7,April 17 2017,0
Miami Marlins,1,Seattle Mariners,7,1,April 17 2017,6
Pittsburgh Pirates,1,St. Louis Cardinals,3,1,April 17 2017,2
Washington Nationals,0,Atlanta Braves,4,3,April 18 2017,1
Milwaukee Brewers,1,Chicago Cubs,16,7,April 18 2017,9
Baltimore Orioles,1,Cincinnati Reds,12,3,April 18 2017,9
Los Angeles Angels,0,Houston Astros,7,5,April 18 2017,2
San Francisco Giants,0,Kansas City Royals,3,2,April 18 2017,1
Colorado Rockies,0,Los Angeles Dodgers,7,4,April 18 2017,3
Cleveland Indians,0,Minnesota Twins,15,11,April 18 2017,4
Chicago White Sox,0,New York Yankees,5,4,April 18 2017,1
Philadelphia Phillies,0,New York Mets,8,6,April 18 2017,2
Texas Rangers,1,Oakland Athletics,6,2,April 18 2017,4
Arizona D'Backs,0,San Diego Padres,13,11,April 18 2017,2
Miami Marlins,0,Seattle Mariners,5,5,April 18 2017,0
Pittsburgh Pirates,1,St. Louis Cardinals,3,1,April 18 2017,2
Detroit Tigers,1,Tampa Bay Rays,6,1,April 18 2017,5
Boston Red Sox,0,Toronto Blue Jays,15,8,April 18 2017,7
Washington Nationals,0,Atlanta Braves,18,14,April 19 2017,4
Milwaukee Brewers,1,Chicago Cubs,11,4,April 19 2017,7
Baltimore Orioles,0,Cincinnati Reds,2,2,April 19 2017,0
Los Angeles Angels,1,Houston Astros,6,1,April 19 2017,5
San Francisco Giants,1,Kansas City Royals,2,0,April 19 2017,2
Colorado Rockies,1,Los Angeles Dodgers,6,2,April 19 2017,4
Chicago White Sox,1,New York Yankees,10,1,April 19 2017,9
Philadelphia Phillies,1,New York Mets,9,4,April 19 2017,5
Texas Rangers,1,Oakland Athletics,10,1,April 19 2017,9
Arizona D'Backs,1,San Diego Padres,1,0,April 19 2017,1
Miami Marlins,1,Seattle Mariners,15,5,April 19 2017,10
