Away,HW,Home,Total_Runs,awayRuns,date,homeRuns
New York Yankees,0,Baltimore Orioles,12,7,May 22 2019,5
Philadelphia Phillies,1,Chicago Cubs,12,4,May 22 2019,8
Oakland Athletics,0,Cleveland Indians,9,7,May 22 2019,2
Miami Marlins,0,Detroit Tigers,9,6,May 22 2019,3
Chicago White Sox,0,Houston Astros,13,9,May 22 2019,4
Cincinnati Reds,1,Milwaukee Brewers,20,9,May 22 2019,11
Washington Nationals,1,New York Mets,7,1,May 22 2019,6
Colorado Rockies,0,Pittsburgh Pirates,12,9,May 22 2019,3
Arizona D'Backs,1,San Diego Padres,7,2,May 22 2019,5
Atlanta Braves,0,San Francisco Giants,11,9,May 22 2019,2
Kansas City Royals,0,St. Louis Cardinals,10,8,May 22 2019,2
Los Angeles Dodgers,1,Tampa Bay Rays,9,1,May 22 2019,8
Seattle Mariners,1,Texas Rangers,3,1,May 22 2019,2
Boston Red Sox,0,Toronto Blue Jays,11,6,May 22 2019,5
