Away,Away_AB,Away_AST,Away_BA,Away_BB,Away_BORA,Away_BP_BB,Away_BP_BF,Away_BP_ERA,Away_BP_FB,Away_BP_GB,Away_BP_HA,Away_BP_HRA,Away_BP_IP,Away_BP_LD,Away_BP_Pit,Away_BP_SO,Away_BP_Str,Away_Hits,Away_OBP,Away_OPS,Away_PA,Away_PO,Away_Pitches_Seen,Away_RBI,Away_SLG,Away_SP_BB,Away_SP_BF,Away_SP_ERA,Away_SP_FB,Away_SP_GB,Away_SP_HA,Away_SP_HRA,Away_SP_IP,Away_SP_LD,Away_SP_Pit,Away_SP_SO,Away_SP_Str,Away_Starter,Away_Strikes_Taken,Away_WPA,Ballpark,Date,Home,Home_AB,Home_AST,Home_BA,Home_BB,Home_BORA,Home_BP_BB,Home_BP_BF,Home_BP_ERA,Home_BP_FB,Home_BP_GB,Home_BP_HA,Home_BP_HRA,Home_BP_IP,Home_BP_LD,Home_BP_Pit,Home_BP_SO,Home_BP_Str,Home_Hits,Home_OBP,Home_OPS,Home_PA,Home_PO,Home_Pitches_Seen,Home_RBI,Home_SLG,Home_SP_BB,Home_SP_BF,Home_SP_ERA,Home_SP_FB,Home_SP_GB,Home_SP_HA,Home_SP_HRA,Home_SP_IP,Home_SP_LD,Home_SP_Pit,Home_SP_SO,Home_SP_Str,Home_Starter,Home_Strikes_Taken,Home_WPA,awayErrors,awayRuns,homeErrors,homeRuns
Tampa Bay Rays,34,9,.353,6,2.6,0,8,0,4,2,2,0,2,1,22,2,15,12,.442,1.001,43,27,158,7,.559,0,23,0,5,10,3,0,7,1,92,8,62,Tyler Glasnow,95,0.264,Oriole Park at Camden Yards,May 3 2019,Baltimore Orioles,31,7,.161,0,-4.4,3,18,2,2,7,3,0,4.9,0,73,5,41,5,.161,.323,31,27,114,0,.161,3,25,5,13,7,9,1,4.1,7,85,2,54,Dan Straily,77,-0.236,0,7,0,0
Boston Red Sox,36,9,.306,6,1.5,2,13,1,3,4,2,0,3,1,52,4,33,11,.405,.905,42,27,172,6,.500,1,23,0,4,6,3,0,6,2,104,10,70,Chris Sale,104,0.223,Guaranteed Rate Field,May 3 2019,Chicago White Sox,31,8,.161,3,-3.5,3,17,0,7,6,3,0,4,3,67,1,35,5,.278,.504,36,27,156,1,.226,3,25,6,10,6,8,2,5,6,105,6,69,Reynaldo Lopez,102,-0.278,1,6,0,1
St. Louis Cardinals,30,6,.133,0,-4.7,2,10,1,5,0,2,0,2.8,2,31,3,20,4,.133,.267,30,24,81,0,.133,4,25,3,6,6,4,1,5.2,3,110,9,66,Jack Flaherty,63,-0.386,Wrigley Field,May 3 2019,Chicago Cubs,29,13,.207,6,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,6,.343,.688,35,27,141,4,.345,0,30,0,15,12,4,0,9,7,81,3,63,Kyle Hendricks,84,0.111,0,0,0,4
San Francisco Giants,47,6,.362,4,6.5,5,40,2,11,10,6,1,8.9,3,173,13,108,17,.404,1.000,53,33,180,12,.596,2,17,7,5,7,7,2,2.1,2,65,3,41,Tyler Beede,121,0.372,Great American Ball Park,May 3 2019,Cincinnati Reds,49,12,.265,7,5.5,1,31,9,14,8,13,3,6,8,98,8,72,13,.368,.879,57,33,238,9,.510,3,22,3,7,10,4,0,5,2,82,2,49,Sonny Gray,149,-0.125,3,12,0,11
Seattle Mariners,34,7,.235,2,-3.8,2,8,1,1,4,1,0,1.1999999999999993,0,27,1,15,8,.278,.660,36,26,147,1,.382,1,24,1,7,6,3,0,7,5,93,10,60,Yusei Kikuchi,89,-0.577,Progressive Field,May 3 2019,Cleveland Indians,29,10,.138,3,-2.3,1,7,0,3,1,2,0,1.7999999999999998,3,33,2,18,4,.219,.426,32,27,120,1,.207,1,29,1,9,11,6,1,7.2,4,114,8,71,Shane Bieber,75,-0.078,0,1,0,2
Arizona Diamondbacks,40,11,.300,2,4.9,2,17,4,4,7,4,2,3.8,1,59,4,34,12,.333,1.008,42,27,159,10,.675,3,26,1,7,9,6,0,5.2,4,96,7,56,Robbie Ray,113,0.654,Coors Field,May 3 2019,Colorado Rockies,38,11,.263,5,3.9,1,22,3,7,11,5,2,5,1,78,3,53,10,.349,.823,43,27,155,9,.474,1,20,6,8,6,7,2,4,3,81,5,60,Tyler Anderson,90,0.154,3,10,0,9
Kansas City Royals,32,5,.219,1,-1.7,0,5,0,2,2,3,0,1,1,19,1,11,7,.257,.663,35,24,139,3,.406,2,29,4,15,5,5,0,7,10,99,6,65,Jorge Lopez,103,-0.401,Comerica Park,May 3 2019,Detroit Tigers,31,7,.258,2,-0.1,0,8,1,3,1,2,1,2,1,37,4,26,8,.324,.614,34,27,118,3,.290,1,27,2,11,5,5,0,7,5,102,9,77,Matthew Boyd,76,0.102,0,3,0,4
Atlanta Braves,34,10,.294,4,3.1,4,30,1,6,10,5,0,7.8,1,118,10,71,10,.359,.859,40,27,161,7,.500,1,8,1,2,3,1,0,1.2,1,27,1,16,Kevin Gausman,103,0.334,Marlins Park,May 3 2019,Miami Marlins,32,8,.188,5,-1.9,1,14,2,6,4,4,0,3,4,62,3,39,6,.316,.503,38,27,145,2,.188,3,26,5,11,8,6,2,6,1,99,4,64,Jose Urena,87,-0.168,0,7,0,2
New York Mets,32,10,.219,3,-3.4,1,8,0,3,3,1,0,2.8,3,30,1,20,7,.286,.536,35,24,154,1,.250,1,27,3,12,11,9,2,5.2,2,104,3,69,Steven Matz,102,-0.456,Miller Park,May 3 2019,Milwaukee Brewers,33,11,.303,2,-0.9,1,14,0,2,6,1,0,4,1,60,5,41,10,.343,.888,35,27,134,3,.545,2,21,1,5,7,6,0,5,2,94,7,61,Brandon Woodruff,89,0.047,0,1,1,3
Minnesota Twins,30,9,.133,4,-1.8,0,10,1,4,1,1,1,3,1,45,4,33,4,.229,.462,35,24,164,3,.233,2,24,2,10,6,7,1,5,7,100,5,61,Kyle Gibson,99,-0.267,Yankee Stadium III,May 3 2019,New York Yankees,29,10,.276,2,1.7,1,21,2,5,8,2,1,6,1,100,7,67,8,.364,.846,34,27,145,5,.483,3,14,0,7,3,2,0,3,4,64,1,32,James Paxton,94,0.235,2,3,1,6
Washington Nationals,33,4,.182,3,-2.4,1,10,2,6,2,2,1,2.9000000000000004,0,48,1,30,6,.250,.614,36,24,142,2,.364,0,20,2,7,4,4,1,5.1,3,79,9,56,Jeremy Hellickson,94,-0.269,Citizens Bank Park,May 3 2019,Philadelphia Phillies,29,7,.207,1,0.1,0,15,1,5,5,3,1,4,3,55,5,41,6,.233,.682,30,27,127,4,.448,3,21,1,8,3,3,0,5,4,87,7,53,Jerad Eickhoff,86,0.230,0,2,0,4
Oakland Athletics,43,9,.372,6,9.8,0,12,0,4,4,3,0,3,3,58,4,39,16,.460,1.041,50,27,203,14,.581,2,26,1,9,11,4,0,6,7,94,4,60,Brett Anderson,131,0.505,PNC Park,May 3 2019,Pittsburgh Pirates,36,10,.194,2,-3.2,4,31,7,13,8,10,2,6.8,6,134,6,87,7,.237,.431,38,27,152,1,.194,2,19,5,7,8,6,0,2.2,4,69,1,44,Joe Musgrove,99,0.003,2,14,2,1
Los Angeles Dodgers,35,11,.257,2,-0.1,1,11,0,1,5,0,0,3,0,47,4,29,9,.289,.775,38,27,154,4,.486,1,24,3,11,6,6,2,6,5,95,6,68,Clayton Kershaw,105,0.228,Petco Park,May 3 2019,San Diego Padres,32,4,.188,2,-1.1,0,17,2,5,4,5,1,4,2,74,8,49,6,.235,.673,35,27,142,3,.438,2,21,2,10,4,4,1,5,4,80,5,56,Eric Lauer,97,-0.273,1,4,0,3
Toronto Blue Jays,43,14,.256,4,-5.9,3,21,0,5,6,3,0,5,3,82,7,51,11,.319,.598,49,36,202,0,.279,2,22,0,9,6,1,0,7,2,102,5,59,Trent Thornton,132,-0.763,Globe Life Park in Arlington,May 3 2019,Texas Rangers,38,14,.105,5,-6.9,2,19,0,3,9,4,0,4,2,86,5,56,4,.209,.341,43,36,184,0,.132,2,30,0,11,8,7,0,8,6,116,9,76,Mike Minor,110,-1.265,0,1,2,0
