Date,HW,Home,Home_Diff,Home_Pts,Start_Time,Visitor,Visitor_Pts
Tue Oct 25 2016,1,Cleveland Cavaliers,29,117,7:30 pm,New York Knicks,88
Tue Oct 25 2016,0,Golden State Warriors,-29,100,10:30 pm,San Antonio Spurs,129
Tue Oct 25 2016,1,Portland Trail Blazers,9,113,10:00 pm,Utah Jazz,104
Wed Oct 26 2016,1,Boston Celtics,5,122,7:30 pm,Brooklyn Nets,117
Wed Oct 26 2016,1,Indiana Pacers,9,130,7:00 pm,Dallas Mavericks,121
Wed Oct 26 2016,1,Los Angeles Lakers,6,120,10:30 pm,Houston Rockets,114
Wed Oct 26 2016,1,Memphis Grizzlies,4,102,8:00 pm,Minnesota Timberwolves,98
Wed Oct 26 2016,0,Milwaukee Bucks,-11,96,8:00 pm,Charlotte Hornets,107
Wed Oct 26 2016,0,New Orleans Pelicans,-5,102,8:00 pm,Denver Nuggets,107
Wed Oct 26 2016,0,Orlando Magic,-12,96,7:00 pm,Miami Heat,108
Wed Oct 26 2016,0,Philadelphia 76ers,-6,97,8:00 pm,Oklahoma City Thunder,103
Wed Oct 26 2016,0,Phoenix Suns,-19,94,10:00 pm,Sacramento Kings,113
Wed Oct 26 2016,1,Toronto Raptors,18,109,7:30 pm,Detroit Pistons,91
Thu Oct 27 2016,1,Atlanta Hawks,15,114,7:30 pm,Washington Wizards,99
Thu Oct 27 2016,1,Chicago Bulls,6,105,8:00 pm,Boston Celtics,99
Thu Oct 27 2016,0,Portland Trail Blazers,-8,106,10:30 pm,Los Angeles Clippers,114
Thu Oct 27 2016,0,Sacramento Kings,-8,94,10:30 pm,San Antonio Spurs,102
Fri Oct 28 2016,1,Brooklyn Nets,9,103,7:30 pm,Indiana Pacers,94
Fri Oct 28 2016,0,Dallas Mavericks,-8,98,8:30 pm,Houston Rockets,106
Fri Oct 28 2016,1,Detroit Pistons,26,108,7:30 pm,Orlando Magic,82
Fri Oct 28 2016,0,Miami Heat,-6,91,8:00 pm,Charlotte Hornets,97
Fri Oct 28 2016,0,New Orleans Pelicans,-8,114,9:30 pm,Golden State Warriors,122
Fri Oct 28 2016,1,Oklahoma City Thunder,3,113,8:00 pm,Phoenix Suns,110
Fri Oct 28 2016,0,Toronto Raptors,-3,91,7:00 pm,Cleveland Cavaliers,94
Fri Oct 28 2016,1,Utah Jazz,7,96,9:00 pm,Los Angeles Lakers,89
Sat Oct 29 2016,1,Chicago Bulls,17,118,8:00 pm,Indiana Pacers,101
