Date,HW,Home,Home_Diff,Home_Pts,Start_Time,Total_Pts,Visitor,Visitor_Pts
Oct 16 2018,1,Boston Celtics,18,105,8:00p,192,Philadelphia 76ers,87
Oct 16 2018,1,Golden State Warriors,8,108,10:30p,208,Oklahoma City Thunder,100
Oct 17 2018,0,Charlotte Hornets,-1,112,7:00p,225,Milwaukee Bucks,113
Oct 17 2018,1,Detroit Pistons,3,103,7:00p,203,Brooklyn Nets,100
Oct 17 2018,0,Houston Rockets,-19,112,8:00p,243,New Orleans Pelicans,131
Oct 17 2018,1,Indiana Pacers,28,111,7:00p,194,Memphis Grizzlies,83
Oct 17 2018,0,Los Angeles Clippers,-9,98,10:30p,205,Denver Nuggets,107
Oct 17 2018,1,New York Knicks,19,126,7:30p,233,Atlanta Hawks,107
Oct 17 2018,1,Orlando Magic,3,104,7:00p,205,Miami Heat,101
Oct 17 2018,1,Phoenix Suns,21,121,10:30p,221,Dallas Mavericks,100
Oct 17 2018,0,Sacramento Kings,-6,117,10:00p,240,Utah Jazz,123
Oct 17 2018,1,San Antonio Spurs,4,112,8:30p,220,Minnesota Timberwolves,108
Oct 17 2018,1,Toronto Raptors,12,116,7:30p,220,Cleveland Cavaliers,104
Oct 18 2018,1,Philadelphia 76ers,19,127,8:00p,235,Chicago Bulls,108
Oct 18 2018,1,Portland Trail Blazers,9,128,10:30p,247,Los Angeles Lakers,119
Oct 18 2018,0,Washington Wizards,-1,112,8:00p,225,Miami Heat,113
Oct 19 2018,1,Brooklyn Nets,2,107,7:30p,212,New York Knicks,105
Oct 19 2018,1,Los Angeles Clippers,16,108,10:30p,200,Oklahoma City Thunder,92
Oct 19 2018,1,Memphis Grizzlies,14,131,8:00p,248,Atlanta Hawks,117
Oct 19 2018,1,Milwaukee Bucks,17,118,8:30p,219,Indiana Pacers,101
Oct 19 2018,1,Minnesota Timberwolves,8,131,8:00p,254,Cleveland Cavaliers,123
Oct 19 2018,1,New Orleans Pelicans,20,149,8:00p,278,Sacramento Kings,129
Oct 19 2018,0,Orlando Magic,-32,88,7:00p,208,Charlotte Hornets,120
Oct 19 2018,1,Toronto Raptors,12,113,8:00p,214,Boston Celtics,101
Oct 19 2018,0,Utah Jazz,-1,123,10:30p,247,Golden State Warriors,124
Oct 20 2018,0,Chicago Bulls,-2,116,8:00p,234,Detroit Pistons,118
Oct 20 2018,1,Dallas Mavericks,4,140,8:30p,276,Minnesota Timberwolves,136
Oct 20 2018,1,Denver Nuggets,28,119,9:00p,210,Phoenix Suns,91
Oct 20 2018,1,Indiana Pacers,20,132,7:00p,244,Brooklyn Nets,112
Oct 20 2018,0,Los Angeles Lakers,-9,115,10:30p,239,Houston Rockets,124
Oct 20 2018,0,Miami Heat,-1,112,8:00p,225,Charlotte Hornets,113
Oct 20 2018,0,New York Knicks,-2,101,7:30p,204,Boston Celtics,103
Oct 20 2018,1,Philadelphia 76ers,1,116,7:30p,231,Orlando Magic,115
Oct 20 2018,1,Portland Trail Blazers,13,121,10:00p,229,San Antonio Spurs,108
Oct 20 2018,0,Washington Wizards,-4,113,7:00p,230,Toronto Raptors,117
Oct 21 2018,0,Cleveland Cavaliers,-22,111,6:00p,244,Atlanta Hawks,133
Oct 21 2018,1,Denver Nuggets,2,100,8:00p,198,Golden State Warriors,98
Oct 21 2018,1,Los Angeles Clippers,3,115,9:00p,227,Houston Rockets,112
Oct 21 2018,0,Oklahoma City Thunder,-11,120,7:00p,251,Sacramento Kings,131
Oct 22 2018,0,Boston Celtics,-3,90,7:30p,183,Orlando Magic,93
Oct 22 2018,1,Dallas Mavericks,6,115,8:30p,224,Chicago Bulls,109
Oct 22 2018,1,Golden State Warriors,20,123,10:30p,226,Phoenix Suns,103
Oct 22 2018,0,Los Angeles Lakers,-1,142,10:30p,285,San Antonio Spurs,143
Oct 22 2018,1,Milwaukee Bucks,11,124,8:00p,237,New York Knicks,113
Oct 22 2018,1,Minnesota Timberwolves,10,101,8:00p,192,Indiana Pacers,91
Oct 22 2018,0,Portland Trail Blazers,-1,124,10:00p,249,Washington Wizards,125
Oct 22 2018,1,Toronto Raptors,21,127,7:30p,233,Charlotte Hornets,106
Oct 22 2018,0,Utah Jazz,-8,84,9:00p,176,Memphis Grizzlies,92
Oct 23 2018,1,Denver Nuggets,14,126,9:00p,238,Sacramento Kings,112
Oct 23 2018,1,Detroit Pistons,1,133,7:00p,265,Philadelphia 76ers,132
Oct 23 2018,1,New Orleans Pelicans,7,116,8:00p,225,Los Angeles Clippers,109
Oct 24 2018,1,Atlanta Hawks,7,111,7:00p,215,Dallas Mavericks,104
Oct 24 2018,1,Chicago Bulls,2,112,8:00p,222,Charlotte Hornets,110
Oct 24 2018,0,Cleveland Cavaliers,-16,86,7:00p,188,Brooklyn Nets,102
Oct 24 2018,1,Golden State Warriors,22,144,10:30p,266,Washington Wizards,122
Oct 24 2018,0,Houston Rockets,-11,89,8:00p,189,Utah Jazz,100
Oct 24 2018,1,Miami Heat,23,110,7:30p,197,New York Knicks,87
Oct 24 2018,1,Milwaukee Bucks,15,123,9:30p,231,Philadelphia 76ers,108
Oct 24 2018,0,Phoenix Suns,-18,113,10:00p,244,Los Angeles Lakers,131
Oct 24 2018,1,Sacramento Kings,5,97,10:00p,189,Memphis Grizzlies,92
Oct 24 2018,0,San Antonio Spurs,-20,96,8:30p,212,Indiana Pacers,116
Oct 24 2018,1,Toronto Raptors,7,112,7:30p,217,Minnesota Timberwolves,105
Oct 25 2018,1,Detroit Pistons,7,110,7:00p,213,Cleveland Cavaliers,103
Oct 25 2018,1,Los Angeles Lakers,7,121,10:30p,235,Denver Nuggets,114
Oct 25 2018,0,Oklahoma City Thunder,-6,95,8:00p,196,Boston Celtics,101
Oct 25 2018,0,Orlando Magic,-14,114,7:00p,242,Portland Trail Blazers,128
Oct 26 2018,1,Charlotte Hornets,29,135,7:00p,241,Chicago Bulls,106
Oct 26 2018,0,Houston Rockets,-20,113,8:00p,246,Los Angeles Clippers,133
Oct 26 2018,0,Minnesota Timberwolves,-30,95,8:00p,220,Milwaukee Bucks,125
Oct 26 2018,1,New Orleans Pelicans,2,117,8:00p,232,Brooklyn Nets,115
Oct 26 2018,0,New York Knicks,-28,100,7:30p,228,Golden State Warriors,128
Oct 26 2018,1,Sacramento Kings,4,116,10:00p,228,Washington Wizards,112
Oct 26 2018,1,Toronto Raptors,9,116,7:30p,223,Dallas Mavericks,107
Oct 27 2018,0,Atlanta Hawks,-12,85,7:30p,182,Chicago Bulls,97
Oct 27 2018,0,Cleveland Cavaliers,-12,107,7:30p,226,Indiana Pacers,119
Oct 27 2018,0,Detroit Pistons,-20,89,7:00p,198,Boston Celtics,109
Oct 27 2018,1,Memphis Grizzlies,21,117,8:00p,213,Phoenix Suns,96
Oct 27 2018,1,Miami Heat,9,120,8:00p,231,Portland Trail Blazers,111
Oct 27 2018,1,Milwaukee Bucks,22,113,8:30p,204,Orlando Magic,91
Oct 27 2018,0,New Orleans Pelicans,-21,111,7:00p,243,Utah Jazz,132
