Date,Home,Home_Pts,Start_Time,Visitor,Visitor_Pts
Feb 2 2019,Charlotte Hornets,,7:00p,Chicago Bulls,
Feb 2 2019,Cleveland Cavaliers,,7:30p,Dallas Mavericks,
Feb 2 2019,Detroit Pistons,,5:00p,Los Angeles Clippers,
Feb 2 2019,Golden State Warriors,,8:30p,Los Angeles Lakers,
Feb 2 2019,Miami Heat,,7:30p,Indiana Pacers,
Feb 2 2019,Minnesota Timberwolves,,9:00p,Denver Nuggets,
Feb 2 2019,Orlando Magic,,7:00p,Brooklyn Nets,
Feb 2 2019,Phoenix Suns,,9:00p,Atlanta Hawks,
Feb 2 2019,Sacramento Kings,,10:00p,Philadelphia 76ers,
Feb 2 2019,San Antonio Spurs,,8:30p,New Orleans Pelicans,
Feb 2 2019,Utah Jazz,,9:00p,Houston Rockets,
Feb 2 2019,Washington Wizards,,7:00p,Milwaukee Bucks,
