Date,Home,Home_Diff,Home_Pts,Start_Time,Visitor,Visitor_Pts
Dec 21 2018,Boston Celtics,-13,107,8:00p,Milwaukee Bucks,120
Dec 21 2018,Brooklyn Nets,-8,106,7:30p,Indiana Pacers,114
Dec 21 2018,Chicago Bulls,10,90,8:00p,Orlando Magic,80
Dec 21 2018,Charlotte Hornets,12,98,7:00p,Detroit Pistons,86
Dec 21 2018,Los Angeles Lakers,8,112,10:30p,New Orleans Pelicans,104
Dec 21 2018,New York Knicks,-7,107,7:30p,Atlanta Hawks,114
Dec 21 2018,Portland Trail Blazers,-30,90,10:00p,Utah Jazz,120
Dec 21 2018,Sacramento Kings,3,102,10:00p,Memphis Grizzlies,99
Dec 21 2018,San Antonio Spurs,26,124,8:30p,Minnesota Timberwolves,98
Dec 21 2018,Toronto Raptors,16,126,7:00p,Cleveland Cavaliers,110
