Date,HW,Home,Home_Diff,Home_Pts,Start_Time,Total_Pts,Visitor,Visitor_Pts
Oct 17 2017,1,Cleveland Cavaliers,3,102,8:01p,201,Boston Celtics,99
Oct 17 2017,0,Golden State Warriors,-1,121,10:30p,243,Houston Rockets,122
Oct 18 2017,0,Boston Celtics,-8,100,7:30p,208,Milwaukee Bucks,108
Oct 18 2017,0,Dallas Mavericks,-6,111,8:30p,228,Atlanta Hawks,117
Oct 18 2017,1,Detroit Pistons,12,102,7:00p,192,Charlotte Hornets,90
Oct 18 2017,1,Indiana Pacers,9,140,7:00p,271,Brooklyn Nets,131
Oct 18 2017,1,Memphis Grizzlies,12,103,8:00p,194,New Orleans Pelicans,91
Oct 18 2017,1,Orlando Magic,7,116,7:00p,225,Miami Heat,109
Oct 18 2017,0,Phoenix Suns,-48,76,10:00p,200,Portland Trail Blazers,124
Oct 18 2017,0,Sacramento Kings,-5,100,10:00p,205,Houston Rockets,105
Oct 18 2017,1,San Antonio Spurs,8,107,9:30p,206,Minnesota Timberwolves,99
Oct 18 2017,1,Utah Jazz,10,106,9:00p,202,Denver Nuggets,96
Oct 18 2017,1,Washington Wizards,5,120,7:00p,235,Philadelphia 76ers,115
Oct 19 2017,0,Los Angeles Lakers,-16,92,10:30p,200,Los Angeles Clippers,108
Oct 19 2017,1,Oklahoma City Thunder,21,105,8:00p,189,New York Knicks,84
Oct 19 2017,1,Toronto Raptors,17,117,7:30p,217,Chicago Bulls,100
Oct 20 2017,1,Brooklyn Nets,5,126,7:30p,247,Orlando Magic,121
Oct 20 2017,1,Charlotte Hornets,18,109,7:00p,200,Atlanta Hawks,91
Oct 20 2017,0,Dallas Mavericks,-5,88,8:30p,181,Sacramento Kings,93
Oct 20 2017,0,Indiana Pacers,-18,96,7:00p,210,Portland Trail Blazers,114
Oct 20 2017,0,Milwaukee Bucks,-19,97,7:00p,213,Cleveland Cavaliers,116
Oct 20 2017,1,Minnesota Timberwolves,3,100,8:00p,197,Utah Jazz,97
