Date,HW,Home,Home_Diff,Home_Pts,Start_Time,Total_Pts,Visitor,Visitor_Pts
Feb 1 2019,1,Charlotte Hornets,8,100,7:00p,192,Memphis Grizzlies,92
Feb 1 2019,1,Denver Nuggets,14,136,10:00p,258,Houston Rockets,122
Feb 1 2019,0,Miami Heat,-16,102,8:00p,220,Oklahoma City Thunder,118
Feb 1 2019,0,New York Knicks,-14,99,7:30p,212,Boston Celtics,113
Feb 1 2019,1,Utah Jazz,16,128,9:00p,240,Atlanta Hawks,112
Feb 2 2019,1,Charlotte Hornets,7,125,7:00p,243,Chicago Bulls,118
Feb 2 2019,0,Cleveland Cavaliers,-13,98,7:30p,209,Dallas Mavericks,111
Feb 2 2019,0,Detroit Pistons,-10,101,5:00p,212,Los Angeles Clippers,111
Feb 2 2019,1,Golden State Warriors,14,115,8:30p,216,Los Angeles Lakers,101
Feb 2 2019,0,Miami Heat,-7,88,7:30p,183,Indiana Pacers,95
Feb 2 2019,0,Minnesota Timberwolves,-1,106,9:00p,213,Denver Nuggets,107
Feb 2 2019,1,Orlando Magic,13,102,7:00p,191,Brooklyn Nets,89
Feb 2 2019,0,Phoenix Suns,-6,112,9:00p,230,Atlanta Hawks,118
Feb 2 2019,1,Sacramento Kings,7,115,10:00p,223,Philadelphia 76ers,108
Feb 2 2019,1,San Antonio Spurs,5,113,8:30p,221,New Orleans Pelicans,108
Feb 2 2019,0,Utah Jazz,-27,98,9:00p,223,Houston Rockets,125
Feb 2 2019,0,Washington Wizards,-16,115,7:00p,246,Milwaukee Bucks,131
Feb 3 2019,1,Boston Celtics,5,134,2:00p,263,Oklahoma City Thunder,129
Feb 3 2019,0,New York Knicks,-12,84,1:00p,180,Memphis Grizzlies,96
Feb 3 2019,1,Toronto Raptors,18,121,3:00p,224,Los Angeles Clippers,103
Feb 4 2019,0,Brooklyn Nets,-19,94,7:30p,207,Milwaukee Bucks,113
Feb 4 2019,1,Detroit Pistons,26,129,7:00p,232,Denver Nuggets,103
Feb 4 2019,0,New Orleans Pelicans,-2,107,8:00p,216,Indiana Pacers,109
Feb 4 2019,0,Phoenix Suns,-8,110,9:00p,228,Houston Rockets,118
Feb 4 2019,1,Sacramento Kings,15,127,10:00p,239,San Antonio Spurs,112
Feb 4 2019,0,Washington Wizards,-8,129,7:00p,266,Atlanta Hawks,137
