Away_3P,Away_3PA,Away_AST,Away_BLK_PCT,Away_FG,Away_FGA,Away_FTA,Away_FTM,Away_ORB,Away_ORB_PCT,Away_STL,Away_TOV_PCT,Away_TRB,Date,Home,Home_3P,Home_3PA,Home_AST,Home_BLK_PCT,Home_FG,Home_FGA,Home_FTA,Home_FTM,Home_ORB,Home_ORB_PCT,Home_STL,Home_TOV_PCT,Home_TRB,Injuries,Referees,Visitor,awayPts,homePts
13,29,20,15.2,46,83,23,12,9,22.5,7,15.4,49,Dec 25 2018,Utah Jazz,9,23,20,5.6,35,89,26,17,11,21.6,7,10.7,42,["Anfernee Simons"|"Gary Trent"|"Grayson Allen"|"Tony Bradley"|"Tyler Cavanaugh"|"Naz Mitrou-Long"],["Ed Malloy"|"J.T. Orr"|"Leon Wood"],Portland Trail Blazers,117,96
17,36,33,10.7,45,89,18,14,11,27.5,8,16.4,41,Dec 26 2018,Atlanta Hawks,13,27,35,5.7,46,83,33,24,10,25.0,13,14.1,39,["Ike Anigbogu"|"Aaron Holiday"|"Alize Johnson"|"Kyle O'Quinn"|"Edmond Sumner"|"Jaylen Adams"|"Alex Len"|"Miles Plumlee"|"Taurean Waller-Prince"],["Brent Barnaky"|"Tony Brown"|"Jason Goldenberg"],Indiana Pacers,121,129
19,47,31,9.3,51,104,18,13,10,19.6,8,13.2,57,Dec 26 2018,Brooklyn Nets,15,31,26,5.3,47,106,30,23,12,20.3,8,9.8,53,["Bismack Biyombo"|"Joe Chealey"|"J.P. Macura"|"Allen Crabbe"|"Treveon Graham"|"Caris LeVert"|"Dzanan Musa"],["Derrick Collins"|"Scott Foster"|"Derek Richardson"],Charlotte Hornets,134,132
6,23,22,8.2,39,95,16,10,12,23.1,6,8.9,45,Dec 26 2018,Chicago Bulls,11,32,26,1.4,46,93,19,16,12,26.7,4,9.8,52,["Keita Bates-Diop"|"Jeff Teague"|"Jared Terrell"|"C.J. Williams"|"Rawle Alkins"|"Bobby Portis"|"Denzel Valentine"],["Curtis Blair"|"Haywoode Workman"|"Zach Zarba"],Minnesota Timberwolves,94,119
12,35,23,20.6,39,81,38,32,8,20.0,3,10.9,46,Dec 26 2018,Dallas Mavericks,12,27,25,4.3,42,90,30,23,7,15.6,4,8.8,39,["Trevon Bluiett"|"Andrew Harrison"|"Nikola Mirotic"|"Elfrid Payton"|"Kostas Antetokounmpo"|"Daryl Macon"|"Dennis Smith"|"Ray Spalding"],["Jacyn Goble"|"Courtney Kirkland"|"Gediminas Petraitis"],New Orleans Pelicans,122,119
14,37,25,8.0,37,80,19,18,11,30.6,8,20.7,46,Dec 26 2018,Detroit Pistons,9,33,17,9.3,38,83,13,10,6,14.6,14,15.3,31,["Dwight Howard"|"Jordan McRae"|"Otto Porter"|"Devin Robinson"|"Henry Ellenson"|"Zach Lofton"|"Glenn Robinson"|"Ish Smith"],["Marat Kogut"|"Brett Nansel"|"Sean Wright"],Washington Wizards,106,95
12,28,23,8.1,48,96,23,19,14,31.1,7,10.2,50,Dec 26 2018,Los Angeles Clippers,10,30,26,14.7,49,104,15,10,12,25.0,8,10.5,43,["Marvin Bagley"|"Wenyen Gabriel"|"Zach Randolph"|"Troy Williams"|"Angel Delgado"|"Luc Mbah a Moute"|"Johnathan Motley"|"Jerome Robinson"],["Kevin Cutler"|"Eric Dalen"|"Rodney Mott"],Sacramento Kings,127,118
5,22,22,14.1,36,72,24,18,3,8.1,7,12.7,34,Dec 26 2018,Memphis Grizzlies,9,29,19,2.0,33,93,15,12,19,38.0,9,13.8,53,["John Henson"|"Kevin Love"|"David Nwaba"|"J.R. Smith"|"Tristan Thompson"|"Jevon Carter"|"Chandler Parsons"|"D.J. Stephens"|"Yuta Watanabe"],["Mark Lindsay"|"Dedric Taylor"|"Justin Van Duyne"],Cleveland Cavaliers,95,87
12,29,28,12.2,43,83,12,6,6,15.4,10,12.0,35,Dec 26 2018,Miami Heat,13,30,19,3.7,37,79,23,19,10,25.6,8,15.2,43,["Chris Boucher"|"Kyle Lowry"|"Jordan Loyd"|"Jonas Valanciunas"|"Goran Dragic"|"Duncan Robinson"|"Dion Waiters"],["Nate Green"|"David Guthrie"|"Scott Wall"],Toronto Raptors,104,106
14,36,20,2.8,44,96,22,18,11,24.4,11,12.4,42,Dec 26 2018,Orlando Magic,13,24,22,15.0,48,95,17,13,11,26.2,9,14.9,45,["Ryan Anderson"|"Jamal Crawford"|"George King"|"Troy Caupain"|"Melvin Frazier"|"Amile Jefferson"|"Timofey Mozgov"],["Nick Buchert"|"J.B. DeRosa"|"Josh Tiven"],Phoenix Suns,120,122
