Class,Height,HighSchool,Hometown,Name,Number,Position,School,Weight
SR,5-11,Athene des Pagodes,Belgium,Manu Lecomte,20,G,Baylor Bears,170
SR,7-0,Kingsway Christian College,Australia,Jo Acuil,0,F,Baylor Bears,210
SR,6-9,Mahtomedi High School,St. Paul MN,Nuni Omot,21,F,Baylor Bears,205
JR,6-3,Triple A Academy (TX),Dallas TX,King McClure,22,G,Baylor Bears,200
SR,6-7,DeSoto HS,Desoto TX,T.J. Maston,31,F,Baylor Bears,220
FR,6-9,,SAN ANTONIO TX,Tristan Clark,25,F,Baylor Bears,240
FR,6-5,,Lake Charles LA,Mark Vital,11,F,Baylor Bears,230
JR,6-5,Olympus HS,Houston TX,Jake Lindsey,3,G,Baylor Bears,190
,6-4,,Oklahoma City OK,Tyson Jolly,10,G,Baylor Bears,190
JR,6-6,Argyle High School,Argyle TX,Jonathan Davis,30,F,Baylor Bears,215
,6-0,,,Obim Okeke,,G,Baylor Bears,225
,7-0,,,Leonard Allen,12,F,Baylor Bears,235
,6-8,,,Freddie Gillespie,45,F,Baylor Bears,240
,6-7,Oak Hill Academy,Jackson MS,Mario Kegler,4,G,Baylor Bears,230
,6-2,Brewster Academy (NH),Raleigh NC,Devonte' Graham,4,G,Kansas Jayhawks,175
SR,6-8,Cherkasy First City Gymnasia,Ukraine,Sviatoslav Mykhailiuk,10,G,Kansas Jayhawks,195
SO,7-0,Potter's House Christian Acadekmy,Nigeria,Udoka Azubuike,35,C,Kansas Jayhawks,280
JR,6-5,Douglass HS,Memphis TN,Lagerald Vick,2,G,Kansas Jayhawks,175
SO,6-3,Callaway HS,Jackson MS,Malik Newman,14,G,Kansas Jayhawks,178
FR,6-5,,Dallas TX,Marcus Garrett,0,G,Kansas Jayhawks,180
SO,6-8,Ironwood Ridge High School,Gilbert AZ,Mitch Lightfoot,44,F,Kansas Jayhawks,210
,6-6,Rainier Beach High School,Seattle WA,Sam Cunliffe,3,G,Kansas Jayhawks,200
FR,6-4,,Leawood KS,Chris Teahan,12,G,Kansas Jayhawks,175
SR,6-5,Lansing HS (KS),Lansing KS,Clay Young,21,G,Kansas Jayhawks,205
,6-9,,,Silvio De Sousa,,F,Kansas Jayhawks,245
,6-7,,,James Sosinski,,F,Kansas Jayhawks,260
,6-9,Hamilton HS,Memphis TN,Dedric Lawson,1,F,Kansas Jayhawks,230
