3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,WS,WS/48,eFG%
.604,19.7,0.0,5.3,-0.3,6.4,1.0,.330,Manu Lecomte,5.6,0.7,3.1,17.2,1.2,13.1,3.7,.576,23.7,4.1,.152,.520
.057,5.1,6.8,5.2,4.8,20.7,1.9,.313,Jo Acuil,0.3,11.0,1.9,21.0,1.0,14.1,16.1,.552,23.6,3.7,.151,.521
.537,13.3,1.3,7.5,2.3,12.7,1.0,.347,Nuni Omot,5.2,4.7,2.1,18.5,1.3,16.9,8.9,.644,19.2,3.1,.160,.602
.046,7.0,4.9,7.2,5.4,16.6,1.2,.359,Tristan Clark,1.8,8.7,1.2,18.0,1.6,17.5,12.9,.625,16.4,2.4,.145,.614
.355,23.4,1.7,6.0,4.4,10.1,1.2,.282,Jake Lindsey,1.6,2.0,0.9,12.5,2.8,22.6,6.3,.540,11.6,2.2,.112,.520
.062,6.5,1.4,2.3,1.1,16.1,0.9,.219,T.J. Maston,1.2,12.4,1.2,20.0,1.0,13.3,14.4,.550,25.0,2.1,.138,.527
.502,12.2,0.1,3.4,1.9,8.8,1.0,.277,King McClure,1.5,2.3,0.8,11.5,2.2,16.1,5.8,.520,19.7,1.9,.095,.483
.056,15.6,3.0,5.8,5.6,15.1,1.3,.511,Mark Vital,0.3,11.3,0.5,14.3,2.0,23.2,13.3,.495,18.7,1.7,.091,.486
.667,12.7,0.0,0.0,-2.1,3.7,0.0,.111,Jonathan Davis,2.1,4.2,0.0,11.0,0.0,17.4,4.0,.580,19.6,0.1,.091,.556
.442,14.3,3.1,-0.9,4.2,16.5,0.3,.233,Tyson Jolly,-5.1,6.2,-0.3,2.1,1.3,22.7,11.7,.283,17.3,0.0,-.005,.233
.875,22.5,0.0,-7.4,0.4,5.2,0.0,.000,Obim Okeke,-7.7,5.8,-0.1,-5.5,2.8,27.3,5.5,.188,26.0,-0.1,-.143,.188
.545,32.2,0.2,8.8,1.6,9.8,1.8,.408,Devonte' Graham,7.2,1.8,4.7,22.1,2.5,15.1,6.0,.573,24.2,6.5,.196,.513
.555,12.9,1.0,7.6,1.8,8.8,1.5,.117,Sviatoslav Mykhailiuk,5.7,4.0,2.9,17.5,1.9,11.4,6.6,.581,21.2,4.4,.145,.567
