2P,2PA,2PCT,3P,3PA,3PCT,AST,BLK,DRB,FG,FGA,FGPCT,FTA,FTM,FTPCT,ORB,PF,PTS,STL,TOV,TRB,games,team
21.09,40.91,.516,6.48,18.06,.359,14.97,4.42,26.42,27.58,58.97,.468,18.88,13.88,.735,11.70,17.97,75.58,5.55,13.67,38.12,33,Baylor Bears
19.97,35.57,.561,10.06,24.97,.403,16.83,4.23,25.91,30.03,60.54,.496,15.89,11.23,.707,9.46,15.23,81.34,6.66,11.57,35.37,35,Kansas Jayhawks
22.06,38.91,.567,6.77,18.34,.369,15.17,4.51,26.43,28.83,57.26,.503,21.14,16.09,.761,10.06,17.23,80.51,4.91,12.17,36.49,35,Arizona Wildcats
18.75,35.22,.532,9.00,24.75,.364,14.31,3.56,25.38,27.75,59.97,.463,24.78,18.16,.733,9.84,18.88,82.66,6.53,10.75,35.22,32,Arizona State Sun Devils
19.34,42.78,.452,4.63,16.19,.286,9.78,4.81,22.28,23.97,58.97,.406,22.41,15.13,.675,13.31,20.25,67.69,6.88,14.69,35.59,32,University of California Golden Bears
17.78,36.47,.488,7.53,21.03,.358,12.78,3.81,27.31,25.31,57.50,.440,19.13,13.94,.729,10.13,19.34,72.09,4.38,14.09,37.44,32,Colorado Buffaloes
18.20,34.46,.528,9.14,25.57,.358,15.40,4.31,24.91,27.34,60.03,.455,18.43,14.03,.761,10.40,19.74,77.86,6.86,12.03,35.31,35,Oregon Ducks
19.94,37.38,.533,6.00,18.22,.329,14.84,3.63,24.59,25.94,55.59,.467,21.50,15.22,.708,10.38,20.06,73.09,6.63,13.25,34.97,32,Oregon State Beavers
19.74,39.03,.506,6.76,18.15,.373,13.62,3.53,27.56,26.50,57.18,.463,24.00,16.41,.684,11.06,18.03,76.18,5.29,14.88,38.62,34,Stanford Cardinal
18.70,36.39,.514,9.39,24.64,.381,15.00,3.97,28.73,28.09,61.03,.460,21.67,15.61,.720,10.15,17.94,81.18,5.58,12.09,38.88,33,UCLA Bruins
20.17,38.54,.523,8.20,21.80,.376,15.69,4.11,24.74,28.37,60.34,.470,18.00,12.86,.714,10.23,15.83,77.80,6.34,10.71,34.97,35,USC Trojans
15.74,29.35,.536,9.06,25.03,.362,15.45,3.52,25.97,24.81,54.39,.456,19.26,14.68,.762,7.77,16.55,73.35,5.26,11.97,33.74,31,Utah Utes
19.61,38.24,.513,6.70,19.48,.344,11.73,5.18,23.42,26.30,57.73,.456,21.45,15.06,.702,9.70,18.91,74.36,8.00,13.45,33.12,33,Washington Huskies
14.84,28.71,.517,11.00,29.19,.377,14.52,2.29,24.23,25.84,57.90,.446,14.32,10.55,.736,8.32,17.16,73.23,5.26,13.58,32.55,31,Washington State Cougars
