2P,2PA,2PCT,3P,3PA,3PCT,AST,BLK,DRB,FG,FGA,FGPCT,FTA,FTM,FTPCT,ORB,PF,PTS,STL,TOV,TRB,games,team
21.29,41.15,.518,6.38,17.88,.357,15.18,4.47,26.24,27.68,59.03,.469,18.82,13.82,.734,11.76,17.88,75.62,5.44,13.62,38.00,34,Baylor Bears
19.85,35.69,.556,10.03,24.97,.401,16.64,4.10,26.05,29.87,60.67,.492,16.38,11.62,.709,9.54,15.31,81.38,6.51,11.69,35.59,39,Kansas Jayhawks
22.06,38.91,.567,6.77,18.34,.369,15.17,4.51,26.43,28.83,57.26,.503,21.17,16.09,.760,10.06,17.23,80.51,4.94,12.17,36.49,35,Arizona Wildcats
18.78,35.22,.533,9.00,24.78,.363,14.31,3.56,25.38,27.78,60.00,.463,24.78,18.16,.733,9.84,18.88,82.66,6.53,10.72,35.22,32,Arizona State Sun Devils
19.34,42.78,.452,4.63,16.19,.286,9.78,4.81,22.31,23.97,58.97,.406,22.41,15.13,.675,13.31,20.25,67.69,6.88,14.69,35.63,32,University of California Golden Bears
17.78,36.47,.488,7.53,21.03,.358,12.78,3.81,27.31,25.31,57.50,.440,19.13,13.94,.729,10.13,19.34,72.09,4.38,14.09,37.44,32,Colorado Buffaloes
18.39,34.64,.531,9.00,25.22,.357,15.44,4.22,24.72,27.39,59.86,.458,18.97,14.47,.763,10.33,19.78,78.25,6.89,12.06,35.06,36,Oregon Ducks
19.94,37.38,.533,6.00,18.22,.329,14.84,3.63,24.59,25.94,55.59,.467,21.50,15.22,.708,10.38,20.06,73.09,6.63,13.25,34.97,32,Oregon State Beavers
19.77,39.26,.504,6.66,18.06,.369,13.40,3.49,27.80,26.43,57.31,.461,23.86,16.34,.685,11.29,18.09,75.86,5.23,15.00,39.09,35,Stanford Cardinal
18.70,36.39,.514,9.39,24.64,.381,15.00,3.97,28.73,28.09,61.03,.460,21.67,15.61,.720,10.15,17.94,81.18,5.58,12.09,38.88,33,UCLA Bruins
20.17,38.53,.523,8.22,21.86,.376,15.81,4.03,24.50,28.39,60.39,.470,18.03,12.72,.706,10.28,15.78,77.72,6.33,10.64,34.78,36,USC Trojans
15.83,29.51,.536,9.20,24.86,.370,15.20,3.29,25.94,25.03,54.37,.460,18.71,14.20,.759,7.60,16.20,73.46,5.14,11.83,33.54,35,Utah Utes
19.71,38.21,.516,6.76,19.53,.346,11.71,5.21,23.12,26.47,57.74,.458,21.18,14.85,.701,9.65,18.82,74.56,8.06,13.32,32.76,34,Washington Huskies
14.84,28.71,.517,11.00,29.19,.377,14.52,2.29,24.23,25.84,57.90,.446,14.32,10.55,.736,8.32,17.16,73.23,5.26,13.58,32.55,31,Washington State Cougars
18.92,35.36,.535,6.36,19.50,.326,12.72,5.33,25.89,25.28,54.86,.461,23.00,15.42,.670,9.94,18.78,72.33,6.33,14.25,35.83,36,Alabama Crimson Tide
21.03,41.09,.512,7.69,19.46,.395,14.31,4.66,24.51,28.71,60.54,.474,22.66,15.43,.681,10.00,20.00,80.54,6.23,10.89,34.51,35,Arkansas Razorbacks
17.21,36.26,.474,9.06,24.47,.370,13.09,4.82,24.50,26.26,60.74,.432,19.79,14.21,.718,10.76,17.38,75.79,6.94,9.85,35.26,34,Florida Gators
21.70,42.41,.512,5.27,14.76,.357,13.19,4.76,26.81,26.97,57.16,.472,25.14,17.54,.698,11.86,18.97,76.76,5.62,12.97,38.68,37,Kentucky Wildcats
19.64,34.91,.563,8.12,23.45,.346,14.15,3.33,23.76,27.76,58.36,.476,19.03,13.91,.731,9.61,17.73,77.55,7.73,11.58,33.36,33,LSU Fighting Tigers
18.44,37.84,.487,7.84,24.63,.319,14.63,4.09,25.66,26.28,62.47,.421,21.09,15.41,.730,12.28,19.03,75.81,6.25,11.41,37.94,32,Ole Miss Rebels
21.54,37.03,.582,8.86,24.08,.368,15.24,3.62,28.97,30.41,61.11,.498,19.59,13.86,.708,10.95,17.05,83.54,6.32,11.35,39.92,37,Gonzaga Bulldogs
22.05,39.38,.560,8.35,22.46,.372,17.51,5.00,27.76,30.41,61.84,.492,21.38,15.19,.710,13.30,15.51,84.35,7.43,12.43,41.05,37,Duke Blue Devils
20.60,38.37,.537,7.80,22.31,.350,14.94,5.31,26.54,28.40,60.69,.468,22.46,15.51,.691,11.23,18.63,80.17,6.89,13.03,37.77,35,Florida State Seminoles
21.62,42.38,.510,8.24,22.95,.359,18.19,4.03,28.62,29.86,65.32,.457,18.30,13.59,.743,13.81,15.86,81.57,5.73,12.05,42.43,37,UNC Tar Heels
20.03,36.31,.552,8.29,20.71,.400,19.14,7.17,29.66,28.31,57.03,.496,20.46,15.29,.747,11.46,18.29,80.20,4.09,13.11,41.11,35,Michigan State Spartans
18.90,32.05,.590,11.60,28.95,.401,16.38,4.05,26.38,30.50,61.00,.500,17.95,13.97,.779,9.50,16.13,86.58,6.47,10.65,35.88,40,Villanova Wildcats
21.06,37.69,.559,7.83,21.03,.372,16.54,3.11,28.63,28.89,58.71,.492,24.09,18.77,.779,9.71,17.20,84.37,5.86,12.60,38.34,35,Xavier Musketeers
19.30,39.54,.488,8.70,24.62,.353,15.16,5.19,24.00,28.00,64.16,.436,20.11,15.41,.766,13.86,21.57,80.11,8.14,11.35,37.86,37,West Virginia Mountaineers
20.44,38.34,.533,9.38,26.13,.359,14.97,4.72,27.88,29.81,64.47,.462,21.38,15.94,.746,10.53,17.22,84.94,6.50,13.38,38.41,32,Oklahoma Sooners
17.68,35.26,.501,7.26,18.97,.383,13.47,3.65,24.03,24.94,54.24,.460,13.26,10.00,.754,8.29,14.12,67.15,6.82,8.53,32.32,34,Virginia Cavaliers
19.91,37.03,.538,9.09,23.85,.381,18.48,3.85,28.21,29.00,60.88,.476,21.21,15.67,.739,12.24,17.58,82.76,4.67,11.67,40.45,33,Wichita State Shockers
17.46,33.86,.516,8.23,22.46,.366,13.23,4.83,27.03,25.69,56.31,.456,18.86,14.23,.755,8.86,16.11,73.83,5.66,11.83,35.89,35,Clemson Tigers
