2P,2PA,2PCT,3P,3PA,3PAr,3PCT,AST,BLK,DEF-FT/FGA,DEF-TOV%,DEF-eFG%,DRB,DRB%,DRtg,FG,FGA,FGPCT,FTA,FTM,FTPCT,FTr,L,MOV,OFF-FT/FGA,OFF-TOV%,OFF-eFG%,ORB,ORB%,ORtg,PACE,PF,PL,PTS,PW,SOS,SRS,STL,TOV,TRB,W,o2P,o2PA,o2PCT,o3P,o3PA,o3PCT,oAST,oBLK,oDRB,oFG,oFGA,oFGPCT,oFTA,oFTM,oFTPCT,oORB,oPF,oPTS,oSTL,oTOV,oTRB,team
27.0,54.8,.494,11.1,30.4,.357,.366,23.8,4.4,.187,14.1,.540,31.9,75.5,111.1,38.2,85.1,.448,20.6,16.4,.793,.242,49,-5.17,.192,14.2,.514,9.3,21.7,105.8,98.0,19.9,46,103.8,23,-0.14,-5.31,8.0,15.6,41.1,20,29.1,55.6,.523,11.6,30.4,.381,26.0,5.3,33.4,40.7,86.0,.473,21.0,16.1,.765,10.3,20.8,109.0,8.7,15.6,43.7,Atlanta Hawks
25.8,52.0,.495,12.2,35.1,.403,.349,23.1,4.2,.201,11.1,.518,34.7,77.3,110.6,38.0,87.1,.436,22.6,17.6,.779,.259,47,-4.40,.202,13.6,.507,10.1,21.8,106.2,98.8,20.6,43,105.8,25,0.18,-4.22,6.2,15.3,44.8,21,32.6,64.4,.506,9.0,24.7,.367,21.5,5.8,36.2,41.6,89.1,.467,23.4,17.9,.765,10.2,19.7,110.2,7.8,12.4,46.4,Brooklyn Nets
26.8,54.0,.497,11.8,31.4,.368,.374,22.6,4.7,.199,12.9,.492,35.2,78.2,103.8,38.6,85.4,.452,20.6,15.8,.770,.241,22,4.19,.185,12.8,.520,9.2,21.2,108.2,96.1,20.1,25,104.7,43,-0.32,3.88,7.2,13.8,44.3,46,27.8,57.9,.481,9.3,27.2,.343,20.9,4.4,34.1,37.2,85.1,.437,22.1,16.9,.766,9.8,19.0,100.5,7.1,14.1,43.9,Boston Celtics
28.9,59.7,.484,9.9,26.9,.311,.369,21.5,4.6,.174,12.8,.534,34.9,81.2,109.0,38.8,86.7,.448,26.7,19.7,.737,.308,39,-0.42,.227,11.3,.505,10.0,22.0,108.6,98.3,17.8,35,107.3,34,0.09,-0.33,7.0,12.6,44.9,30,29.5,56.8,.519,11.2,29.8,.376,24.7,5.0,35.3,40.7,86.7,.470,18.8,15.1,.801,8.1,22.4,107.7,6.4,13.9,43.4,Charlotte Hornets
27.9,58.0,.481,11.0,30.8,.347,.357,23.5,3.6,.188,12.2,.537,35.3,80.8,110.3,38.9,88.8,.438,19.4,14.8,.763,.218,44,-5.88,.167,12.3,.500,9.3,20.1,104.4,98.2,19.3,47,103.6,21,0.24,-5.65,7.4,13.7,44.7,24,29.1,55.2,.527,11.6,31.6,.369,25.5,4.9,37.2,40.8,86.8,.470,20.9,16.3,.783,8.4,17.6,109.5,7.0,13.3,45.6,Chicago Bulls
28.2,51.9,.543,12.0,32.6,.386,.368,23.5,4.0,.167,12.2,.538,33.7,76.7,111.9,40.1,84.5,.475,23.0,18.0,.781,.272,29,0.15,.213,12.9,.546,8.2,19.4,112.0,98.1,19.0,34,110.2,34,-0.30,-0.15,7.1,14.0,41.9,39,30.0,56.6,.531,11.7,31.9,.368,25.7,4.1,34.3,41.8,88.5,.472,19.8,14.8,.746,10.2,20.6,110.1,7.6,13.6,44.5,Cleveland Cavaliers
26.2,52.9,.495,11.8,32.4,.380,.363,22.6,3.7,.195,13.2,.532,33.0,78.8,109.0,38.0,85.3,.445,19.1,14.7,.770,.225,46,-2.24,.173,11.7,.514,8.1,18.1,106.7,95.6,19.3,39,102.4,29,0.55,-1.69,7.2,12.5,41.1,22,28.1,53.7,.524,10.8,29.5,.365,23.0,4.4,36.6,38.9,83.2,.467,21.3,16.2,.759,8.9,20.2,104.6,7.4,14.1,45.4,Dallas Mavericks
29.3,55.7,.527,11.3,30.6,.355,.369,25.0,4.7,.174,13.0,.542,33.3,77.9,110.6,40.6,86.3,.471,21.9,16.7,.763,.253,31,1.28,.193,13.7,.536,11.0,25.7,111.9,97.2,18.4,32,109.3,37,0.00,1.27,7.9,15.2,44.2,38,30.5,57.3,.532,10.7,28.6,.374,24.5,4.8,31.7,41.2,85.9,.479,20.2,14.9,.741,9.4,20.2,108.0,8.1,14.1,41.1,Denver Nuggets
28.4,58.4,.486,10.5,28.4,.327,.370,22.6,3.8,.180,14.0,.529,32.9,78.2,108.0,38.9,86.7,.448,19.7,14.6,.744,.227,38,-1.53,.169,12.6,.508,10.2,22.9,106.4,96.2,18.8,38,102.9,30,0.19,-1.34,7.6,13.8,43.2,30,27.8,54.2,.513,11.2,30.2,.372,25.0,5.0,34.4,39.0,84.4,.462,19.3,15.2,.784,9.2,18.4,104.4,7.4,15.1,43.6,Detroit Pistons
31.7,55.4,.572,11.7,29.6,.349,.394,30.1,7.8,.191,12.5,.499,35.6,76.3,107.2,43.3,85.0,.510,21.3,17.4,.815,.250,16,7.94,.204,14.3,.578,8.4,21.4,115.1,100.2,19.8,18,115.7,50,0.17,8.11,8.0,15.8,44.0,52,29.7,61.4,.484,10.3,29.3,.353,23.2,3.5,31.0,40.1,90.6,.442,22.7,17.3,.761,11.1,18.7,107.7,8.8,14.3,42.0,Golden State Warriors
23.6,41.9,.562,15.4,42.2,.502,.364,21.7,4.7,.174,13.4,.524,34.4,80.4,106.5,38.9,84.1,.463,25.7,20.3,.789,.306,14,8.96,.241,12.8,.554,9.2,21.9,115.7,97.8,19.7,16,113.5,52,-0.08,8.88,8.6,14.0,43.5,54,29.3,56.6,.518,10.4,28.9,.358,22.8,4.5,32.8,39.7,85.5,.464,19.8,14.9,.751,8.4,20.8,104.6,7.3,14.6,41.2,Houston Rockets
31.7,61.5,.516,9.0,24.5,.285,.369,22.0,4.1,.175,14.1,.525,32.9,76.2,107.9,40.8,86.0,.474,19.7,15.2,.774,.229,29,1.51,.177,12.5,.527,9.4,22.3,109.5,96.4,18.9,31,105.8,38,-0.54,0.97,8.7,13.5,42.3,40,28.7,54.3,.528,10.7,30.8,.347,22.8,5.2,32.8,39.4,85.1,.463,19.9,14.9,.751,10.3,18.6,104.3,7.2,15.4,43.0,Indiana Pacers
30.3,57.2,.529,9.8,28.1,.329,.350,22.3,4.8,.208,12.9,.513,34.2,76.2,109.0,40.1,85.3,.470,25.4,19.2,.755,.298,30,1.31,.225,13.2,.528,9.8,22.9,110.3,98.9,20.2,31,109.2,36,-0.11,1.21,7.8,14.7,44.0,37,28.8,57.0,.505,10.7,30.4,.353,24.1,5.3,33.2,39.5,87.4,.452,23.3,18.2,.783,10.7,22.3,107.9,8.4,14.4,43.9,Los Angeles Clippers
31.3,60.4,.518,10.0,28.9,.323,.345,23.9,4.9,.194,12.9,.517,35.3,77.6,108.0,41.3,89.3,.462,23.0,16.3,.706,.258,37,-1.49,.182,13.7,.518,10.9,24.0,106.6,100.9,21.5,37,108.7,31,0.13,-1.35,8.1,15.8,46.3,31,30.5,59.7,.512,10.6,30.1,.351,23.5,5.6,34.7,41.1,89.8,.458,22.7,17.4,.768,10.2,20.4,110.2,8.0,14.8,44.9,Los Angeles Lakers
27.2,55.9,.486,9.1,26.3,.320,.348,21.4,4.9,.262,13.9,.523,31.2,76.9,110.0,36.3,82.1,.442,21.5,17.0,.792,.261,50,-5.44,.207,14.0,.497,9.3,22.1,104.3,94.5,23.6,46,98.7,22,0.39,-5.05,7.4,14.9,40.5,18,26.4,51.7,.510,10.2,27.9,.365,21.5,5.2,33.0,36.6,79.6,.459,27.0,20.8,.771,9.4,20.6,104.2,8.0,14.8,42.3,Memphis Grizzlies
27.4,53.8,.510,11.0,30.7,.363,.359,22.4,5.2,.216,13.0,.510,33.9,79.3,106.8,38.4,84.4,.455,19.7,14.8,.751,.233,33,-0.01,.175,13.5,.520,9.3,21.8,106.8,95.4,20.1,35,102.6,34,-0.22,-0.23,7.5,14.6,43.2,36,28.2,57.0,.495,9.4,26.0,.362,20.7,4.7,33.5,37.7,83.0,.454,22.8,17.9,.785,8.8,19.3,102.6,7.4,14.0,42.3,Miami Heat
30.4,57.3,.530,8.7,24.5,.299,.355,22.5,5.3,.221,14.2,.526,31.4,76.6,109.5,39.0,81.8,.478,23.8,18.5,.775,.291,32,-0.34,.226,13.2,.531,8.2,20.2,109.2,95.8,21.5,35,105.2,33,-0.15,-0.49,8.5,14.0,39.6,36,28.8,56.2,.513,9.9,26.8,.368,23.3,4.3,32.4,38.7,83.0,.466,23.6,18.3,.777,9.6,20.0,105.6,7.2,15.4,42.0,Milwaukee Bucks
33.3,63.6,.523,7.9,22.3,.260,.356,22.7,4.3,.187,14.1,.541,31.5,76.1,111.1,41.2,85.9,.480,24.2,19.4,.803,.282,29,2.65,.226,11.4,.526,10.4,24.6,113.9,95.8,18.0,29,109.8,40,0.17,2.82,8.5,12.4,41.9,40,29.4,54.7,.538,10.8,29.8,.364,23.8,4.6,31.8,40.2,84.5,.476,20.2,15.8,.782,9.9,20.7,107.2,6.3,15.3,41.7,Minnesota Timberwolves
32.0,59.5,.538,10.4,28.6,.324,.364,26.5,5.9,.183,12.5,.517,35.3,76.7,109.2,42.5,88.1,.482,21.5,16.5,.769,.244,29,0.35,.188,13.4,.541,8.7,19.9,109.5,100.5,19.4,33,111.9,35,0.03,0.38,7.8,15.1,44.0,39,31.0,61.3,.506,10.9,30.5,.358,24.2,4.3,34.8,41.9,91.7,.457,21.1,16.8,.793,10.7,20.7,111.5,8.2,14.4,45.5,New Orleans Pelicans
32.6,64.6,.504,7.8,22.3,.257,.348,22.8,5.3,.205,12.4,.525,33.4,76.8,110.7,40.3,86.9,.464,19.7,15.5,.787,.227,45,-3.84,.178,13.6,.509,10.5,24.4,106.8,96.7,20.4,43,104.0,26,0.13,-3.72,6.8,15.0,43.9,24,27.9,55.3,.504,11.5,30.6,.375,23.9,4.7,32.5,39.4,85.9,.458,22.9,17.6,.771,10.1,19.0,107.8,8.2,13.6,42.6,New York Knicks
29.3,57.8,.507,10.6,30.0,.342,.352,21.2,5.2,.192,14.6,.523,32.5,77.6,106.8,39.9,87.8,.454,23.3,16.5,.711,.265,29,3.21,.188,12.6,.514,12.4,27.7,110.1,96.4,20.0,28,106.9,42,-0.35,2.87,8.9,14.1,44.9,41,27.0,53.1,.508,11.2,30.6,.367,23.2,4.7,32.3,38.2,83.7,.456,21.0,16.1,.763,9.4,21.2,103.7,7.7,15.9,41.7,Oklahoma City Thunder
28.7,56.2,.510,10.6,29.2,.342,.361,23.5,4.7,.189,12.7,.529,32.4,75.2,111.3,39.2,85.4,.459,21.0,16.0,.762,.246,48,-4.61,.187,13.5,.521,8.7,20.0,106.6,98.2,19.6,45,105.0,24,-0.05,-4.66,7.5,14.8,41.0,21,31.9,61.2,.521,9.7,26.6,.365,24.5,5.0,34.6,41.6,87.8,.474,21.4,16.6,.777,10.7,19.2,109.6,8.0,14.1,45.2,Orlando Magic
29.2,56.1,.520,10.6,29.1,.342,.365,25.9,5.0,.223,12.6,.496,35.7,78.0,106.1,39.8,85.2,.467,23.3,17.6,.757,.274,30,2.27,.207,15.2,.530,11.0,25.6,108.3,99.0,22.3,29,107.9,38,0.29,2.56,8.1,17.1,46.7,37,28.2,57.9,.488,9.9,29.0,.342,21.4,5.2,31.8,38.2,87.0,.439,25.7,19.4,.754,10.1,20.9,105.6,8.9,14.2,41.9,Philadelphia 76ers
29.2,59.8,.488,9.3,27.5,.315,.336,21.0,4.5,.220,11.9,.533,33.6,76.5,113.2,38.4,87.3,.440,24.4,18.2,.747,.279,51,-9.40,.208,13.8,.493,10.5,22.9,103.8,100.4,22.6,54,104.3,16,0.42,-8.98,6.8,15.7,44.1,19,31.0,59.4,.522,10.7,29.0,.370,23.0,5.9,35.5,41.8,88.4,.472,25.4,19.5,.767,10.3,21.5,113.7,8.7,13.4,45.8,Phoenix Suns
28.7,59.0,.486,10.5,27.6,.319,.380,19.3,5.0,.192,11.7,.503,35.3,79.1,106.3,39.1,86.6,.452,21.4,17.1,.801,.247,26,2.74,.198,12.6,.513,10.0,23.0,109.1,96.6,19.4,28,105.9,40,-0.28,2.46,6.8,13.8,45.3,42,28.9,59.4,.486,9.6,26.7,.361,20.2,5.2,33.4,38.5,86.1,.447,21.7,16.5,.761,9.3,19.3,103.1,7.4,12.7,42.7,Portland Trail Blazers
