2P,2PA,2PCT,3P,3PA,3PCT,AST,BLK,DRB,FG,FGA,FGPCT,FTA,FTM,FTPCT,ORB,PF,PTS,STL,TOV,TRB,games,team
18.7,36.4,.514,7.7,22.4,.345,16.2,1.8,24.0,26.4,58.8,.449,21.8,16.3,.748,8.5,21.0,76.9,5.5,11.6,32.5,24,Olympiacos Piraeus
21.4,39.5,.542,8.5,23.5,.363,20.4,2.5,22.8,30.0,63.0,.475,16.0,11.6,.726,8.1,21.6,80.0,6.2,11.3,30.9,24,FC Barcelona Lassa
22.1,40.2,.550,7.6,18.4,.415,19.8,1.7,21.8,29.8,58.6,.508,19.5,15.2,.779,8.2,23.9,82.3,5.6,12.6,30.0,24,Zalgiris Kaunas
20.5,37.7,.545,9.8,24.0,.410,19.5,3.2,22.3,30.4,61.6,.493,15.4,11.5,.751,7.7,20.2,82.1,5.5,11.9,30.0,24,Baskonia Vitoria Gasteiz
19.6,35.6,.550,10.0,26.9,.372,18.9,3.2,23.5,29.6,62.5,.474,19.8,16.0,.808,9.5,20.8,85.1,6.8,11.1,33.1,24,Real Madrid
18.4,34.8,.528,9.3,25.0,.370,16.2,2.6,20.4,27.6,59.8,.462,19.2,13.2,.688,7.6,22.8,77.7,6.9,10.7,28.0,24,Panathinaikos Superfoods Athens
24.4,47.3,.516,6.3,18.0,.347,17.8,3.8,22.9,30.7,65.3,.470,19.4,13.7,.706,9.2,19.5,81.3,6.6,10.6,32.0,24,Maccabi FOX Tel Aviv
22.9,41.2,.557,9.0,21.2,.424,17.5,3.4,22.1,31.9,62.4,.512,20.8,17.1,.824,8.5,22.2,90.0,7.8,10.6,30.5,24,CSKA Moscow
20.8,39.2,.530,8.3,19.9,.416,18.9,3.0,20.3,29.0,59.1,.492,17.8,13.9,.780,8.8,20.5,80.3,6.3,10.8,29.2,24,Fenerbahce Dogus Istanbul
21.4,43.0,.497,7.0,20.5,.341,14.8,3.2,21.0,28.4,63.5,.447,17.5,13.0,.741,9.6,18.8,76.8,5.7,10.9,30.7,24,Anadolu Efes Istanbul
20.8,40.9,.508,7.8,22.2,.350,17.3,2.3,20.8,28.5,63.0,.452,17.6,12.9,.730,10.7,18.3,77.6,6.3,11.5,31.5,24,Unicaja Malaga
17.2,33.9,.508,9.5,24.2,.391,17.5,2.2,20.7,26.7,58.1,.459,18.1,15.0,.829,7.8,18.4,77.8,5.1,10.9,28.5,24,Valencia Basket
19.9,37.5,.531,8.6,23.5,.365,16.4,2.5,20.0,28.5,61.0,.467,20.8,16.0,.769,7.6,21.4,81.5,5.2,10.1,27.5,24,AX Armani Exchange Olimpia Milan
17.7,36.5,.485,8.3,21.6,.382,15.4,1.7,21.7,25.9,58.0,.447,19.0,15.2,.800,7.3,21.5,75.3,4.6,11.3,29.0,24,Brose Bamberg
17.7,34.3,.516,9.8,27.4,.359,17.7,3.1,21.7,27.5,61.6,.446,17.1,12.8,.749,8.3,22.3,77.6,7.3,11.2,30.0,24,Khimki Moscow Region
19.3,39.1,.492,8.5,24.9,.341,15.7,2.3,18.9,27.8,64.0,.433,18.9,14.3,.756,10.6,23.3,78.3,6.5,9.4,29.5,24,Crvena Zvezda mts Belgrade
