2P,2PA,2PCT,3P,3PA,3PAr,3PCT,AST,BLK,DEF-FT/FGA,DEF-TOV%,DEF-eFG%,DRB,DRB%,DRtg,FG,FGA,FGPCT,FTA,FTM,FTPCT,FTr,L,MOV,OFF-FT/FGA,OFF-TOV%,OFF-eFG%,ORB,ORB%,ORtg,PACE,PF,PL,PTS,PW,SOS,SRS,STL,TOV,TRB,W,o2P,o2PA,o2PCT,o3P,o3PA,o3PCT,oAST,oBLK,oDRB,oFG,oFGA,oFGPCT,oFTA,oFTM,oFTPCT,oORB,oPF,oPTS,oSTL,oTOV,oTRB,team
27.0,54.5,.495,11.2,31.0,.363,.360,23.7,4.2,.183,13.6,.536,32.8,76.2,110.6,38.2,85.5,.446,20.2,15.8,.785,.236,58,-5.45,.185,14.1,.512,9.1,21.1,105.0,98.3,19.6,55,103.4,27,0.15,-5.30,7.8,15.6,41.9,24,29.1,56.0,.520,11.6,30.7,.377,26.1,5.5,34.0,40.7,86.7,.469,20.6,15.9,.772,10.3,20.3,108.8,8.7,15.1,44.2,Atlanta Hawks
25.5,51.1,.500,12.7,35.7,.411,.356,23.7,4.8,.201,11.0,.517,34.8,77.0,110.6,38.2,86.8,.441,22.6,17.4,.772,.260,54,-3.74,.201,13.6,.514,9.7,21.0,106.9,98.9,20.6,51,106.6,31,0.07,-3.67,6.2,15.2,44.4,28,32.6,64.9,.503,9.0,24.5,.369,21.7,5.5,36.4,41.7,89.4,.466,23.4,17.9,.766,10.4,19.7,110.3,7.7,12.4,46.8,Brooklyn Nets
26.9,54.7,.491,11.5,30.4,.357,.377,22.5,4.5,.191,13.0,.495,35.1,78.4,103.9,38.3,85.1,.450,20.7,16.0,.771,.243,27,3.59,.188,13.0,.518,9.4,21.5,107.6,96.0,19.7,31,104.0,51,-0.35,3.23,7.4,14.0,44.5,55,28.0,57.4,.488,9.4,27.7,.339,21.3,4.4,34.2,37.4,85.0,.440,21.3,16.3,.763,9.6,19.2,100.4,7.2,14.1,43.8,Boston Celtics
28.9,59.4,.487,10.0,27.2,.314,.369,21.6,4.5,.165,12.4,.532,35.4,80.7,109.1,39.0,86.7,.450,27.0,20.2,.747,.312,46,0.26,.233,11.4,.508,10.1,22.2,109.4,98.4,17.2,40,108.2,42,-0.19,0.07,6.8,12.7,45.5,36,29.8,57.7,.516,11.3,30.1,.375,24.7,4.9,35.3,41.1,87.8,.468,18.2,14.5,.795,8.4,22.4,108.0,6.6,13.6,43.7,Charlotte Hornets
27.6,57.8,.478,11.0,31.1,.350,.355,23.5,3.5,.184,12.4,.542,35.0,80.6,110.9,38.7,88.8,.435,19.2,14.6,.759,.216,55,-7.04,.164,12.6,.497,9.6,20.6,103.8,98.3,19.2,59,102.9,23,0.20,-6.84,7.6,14.0,44.7,27,28.9,54.1,.534,12.1,32.7,.370,25.9,5.2,37.2,41.0,86.8,.472,20.2,15.9,.787,8.4,17.4,110.0,7.2,13.6,45.7,Chicago Bulls
28.4,52.6,.540,12.0,32.1,.379,.372,23.4,3.8,.166,12.2,.540,33.7,77.3,111.9,40.4,84.8,.476,23.3,18.1,.779,.275,32,0.94,.214,12.6,.547,8.5,20.1,112.9,98.0,18.6,39,110.9,43,-0.35,0.59,7.1,13.7,42.1,50,30.2,56.6,.533,11.7,31.7,.368,25.9,4.1,33.7,41.8,88.3,.474,19.4,14.6,.756,9.9,20.7,109.9,7.5,13.5,43.6,Cleveland Cavaliers
26.4,53.1,.496,11.8,32.8,.382,.360,22.7,3.8,.193,12.9,.532,33.1,78.9,109.5,38.1,85.9,.444,18.7,14.2,.763,.217,58,-3.04,.166,11.6,.513,8.1,18.0,106.3,95.6,19.2,49,102.3,33,0.34,-2.70,7.0,12.3,41.3,24,28.6,54.4,.526,10.7,29.4,.363,23.5,4.5,36.9,39.3,83.8,.469,21.4,16.2,.757,8.8,19.6,105.4,7.2,13.7,45.8,Dallas Mavericks
29.2,55.7,.525,11.5,30.9,.357,.371,25.1,4.9,.173,12.6,.539,33.5,77.5,111.0,40.7,86.6,.470,22.3,17.1,.767,.258,36,1.48,.198,13.4,.536,11.0,25.7,112.5,96.8,18.7,37,110.0,45,0.09,1.57,7.6,15.0,44.5,46,30.4,57.9,.525,10.9,28.8,.378,24.7,4.8,31.9,41.3,86.7,.476,20.4,15.0,.738,9.8,20.7,108.5,8.0,13.8,41.6,Denver Nuggets
28.3,58.0,.488,10.8,28.9,.333,.373,22.8,3.9,.172,13.7,.524,33.6,78.5,107.3,39.1,86.9,.450,19.8,14.7,.745,.227,43,-0.15,.169,12.3,.512,10.1,22.7,107.2,96.2,18.4,41,103.8,41,-0.11,-0.26,7.7,13.5,43.7,39,28.0,54.4,.515,11.1,30.8,.359,25.2,4.9,34.5,39.1,85.2,.459,18.9,14.6,.776,9.2,18.4,103.9,7.3,14.8,43.8,Detroit Pistons
31.5,56.2,.560,11.3,28.9,.339,.391,29.3,7.5,.186,12.6,.504,35.1,76.3,107.6,42.8,85.1,.503,20.3,16.6,.815,.239,24,5.98,.195,14.1,.569,8.4,21.0,113.6,99.6,19.6,26,113.5,56,-0.19,5.79,8.0,15.5,43.5,58,29.8,60.8,.490,10.4,29.2,.357,23.6,3.7,31.6,40.2,90.0,.447,22.0,16.7,.758,10.9,18.5,107.5,8.7,14.3,42.5,Golden State Warriors
23.4,41.9,.558,15.3,42.3,.502,.362,21.5,4.8,.171,13.4,.521,34.5,79.9,106.1,38.7,84.2,.460,25.1,19.6,.781,.298,17,8.48,.233,12.7,.551,9.0,21.3,114.7,97.6,19.5,21,112.4,61,-0.27,8.21,8.5,13.8,43.5,65,29.5,56.7,.519,10.1,28.8,.351,22.4,4.4,33.4,39.6,85.6,.462,19.6,14.6,.746,8.7,20.4,103.9,7.4,14.6,42.0,Houston Rockets
31.8,61.9,.513,9.0,24.5,.284,.369,22.2,4.1,.174,14.2,.527,32.7,76.2,108.1,40.8,86.4,.472,19.2,14.9,.779,.222,34,1.38,.173,12.3,.525,9.6,22.7,109.5,96.0,18.8,37,105.6,45,-0.20,1.18,8.8,13.3,42.3,48,28.8,54.4,.530,10.6,30.4,.349,23.2,5.2,32.8,39.4,84.8,.465,19.5,14.8,.757,10.2,18.5,104.2,7.0,15.5,43.0,Indiana Pacers
30.8,58.6,.525,9.5,26.8,.314,.354,22.3,4.5,.203,12.6,.520,33.7,76.1,110.2,40.3,85.4,.471,25.5,19.0,.743,.299,40,0.04,.222,13.2,.527,10.1,23.5,110.3,98.7,20.0,41,109.0,41,0.11,0.15,7.7,14.7,43.9,42,29.5,57.5,.512,10.7,30.2,.356,24.6,5.6,33.0,40.2,87.7,.458,22.7,17.8,.782,10.6,22.0,109.0,8.5,14.1,43.6,Los Angeles Clippers
30.7,59.3,.517,10.0,29.1,.329,.345,23.8,4.7,.190,12.5,.514,35.7,77.7,108.0,40.7,88.4,.461,23.3,16.6,.714,.264,47,-1.55,.188,13.8,.517,10.7,23.6,106.5,100.3,21.2,45,108.1,37,0.11,-1.44,7.7,15.8,46.4,35,30.6,59.8,.512,10.4,30.1,.346,23.6,5.5,34.6,41.0,89.9,.456,22.5,17.1,.761,10.2,20.5,109.6,8.3,14.3,44.8,Los Angeles Lakers
27.5,56.5,.486,9.2,26.2,.317,.352,21.5,4.8,.256,13.8,.529,31.0,76.5,111.0,36.7,82.8,.444,21.1,16.6,.786,.255,60,-6.21,.201,14.0,.500,9.5,22.4,104.5,94.9,23.2,57,99.3,25,0.39,-5.81,7.5,15.0,40.5,22,26.5,51.3,.516,10.7,29.0,.368,22.1,5.1,33.0,37.1,80.3,.462,26.8,20.6,.769,9.5,20.4,105.5,8.1,14.8,42.5,Memphis Grizzlies
