2P,2PA,2PCT,3P,3PA,3PAr,3PCT,AST,BLK,DEF-FT/FGA,DEF-TOV%,DEF-eFG%,DRB,DRB%,DRtg,FG,FGA,FGPCT,FTA,FTM,FTPCT,FTr,L,MOV,OFF-FT/FGA,OFF-TOV%,OFF-eFG%,ORB,ORB%,ORtg,PACE,PF,PL,PTS,PW,SOS,SRS,STL,TOV,TRB,W,gamesPlayed,team
166,376,.441,55,153,.289,.359,119,22,.223,14.8,.499,200,73.3,107.0,221,529,.418,108,94,.870,.204,5,-7.50,.178,12.8,.470,60,21.1,99.4,99.1,133,4,591,2,-4.65,-12.15,54,85,260,1,6,Atlanta Hawks
171,340,.503,71,196,.366,.362,132,24,.243,13.4,.522,196,72.9,112.1,242,536,.451,177,137,.774,.330,3,-2.00,.256,14.1,.518,67,24.4,110.2,104.6,138,3,692,3,2.20,0.20,56,101,263,3,6,Brooklyn Nets
126,268,.470,54,148,.356,.365,110,22,.199,14.9,.482,185,81.5,97.5,180,416,.433,127,93,.732,.305,2,5.40,.224,13.9,.498,45,20.0,103.0,98.5,113,2,507,3,1.33,6.73,45,76,230,3,5,Boston Celtics
119,254,.469,51,151,.373,.338,84,22,.124,11.7,.479,200,82.0,100.4,170,405,.420,149,105,.705,.368,3,-0.40,.259,13.7,.483,45,19.7,100.0,99.2,84,3,496,2,-2.43,-2.83,23,75,245,2,5,Charlotte Hornets
99,220,.450,42,125,.362,.336,88,14,.188,11.1,.507,144,77.4,107.6,141,345,.409,70,56,.800,.203,3,-7.25,.162,15.1,.470,44,24.2,99.9,95.1,73,3,380,1,1.58,-5.67,18,67,188,1,4,Chicago Bulls
146,268,.545,51,146,.353,.349,108,24,.163,11.7,.524,178,79.1,109.6,197,414,.476,117,92,.786,.283,2,0.60,.222,14.7,.537,46,22.8,110.2,97.5,80,2,537,3,3.75,4.35,25,80,224,3,5,Cleveland Cavaliers
135,311,.434,71,198,.389,.359,126,18,.209,14.7,.544,188,74.9,111.4,206,509,.405,142,104,.732,.279,5,-8.83,.204,12.1,.474,60,20.7,102.2,95.8,113,5,587,1,-1.69,-10.52,46,79,248,1,6,Dallas Mavericks
149,301,.495,43,131,.303,.328,115,12,.198,13.2,.502,174,78.4,105.4,192,432,.444,93,67,.720,.215,3,-2.00,.155,15.5,.494,62,28.3,103.3,95.6,94,3,494,2,-5.97,-7.97,30,87,236,2,5,Denver Nuggets
160,308,.519,49,143,.317,.343,110,11,.290,15.6,.510,154,80.6,104.5,209,451,.463,83,65,.783,.184,2,4.40,.144,12.6,.518,55,24.2,109.0,97.6,121,2,532,3,-3.46,0.94,43,70,209,3,5,Detroit Pistons
177,300,.590,83,211,.413,.393,181,52,.194,12.6,.517,217,74.3,111.7,260,511,.509,136,117,.860,.266,2,5.83,.229,15.3,.590,59,24.4,117.4,102.2,134,2,720,4,0.59,6.42,44,103,276,4,6,Golden State Warriors
144,231,.623,81,267,.536,.303,132,32,.197,13.3,.505,217,81.6,103.8,225,498,.452,130,107,.823,.261,1,5.17,.215,14.7,.533,53,20.9,109.2,97.4,125,2,638,4,-3.27,1.90,48,96,270,5,6,Houston Rockets
175,321,.545,40,122,.275,.328,106,21,.182,13.3,.550,159,75.0,113.5,215,443,.485,132,100,.758,.298,3,-1.60,.226,12.9,.530,55,25.3,111.9,101.9,104,3,570,2,1.94,0.34,43,74,214,2,5,Indiana Pacers
122,239,.510,43,116,.327,.371,81,14,.212,15.5,.450,149,78.8,94.0,165,355,.465,100,71,.710,.282,0,19.25,.200,11.5,.525,52,28.1,113.7,97.6,87,0,444,4,-0.51,18.74,40,52,201,4,4,Los Angeles Clippers
171,324,.528,35,122,.274,.287,117,27,.174,13.6,.505,193,79.8,102.4,206,446,.462,116,83,.716,.260,3,-5.40,.186,16.6,.501,41,18.0,97.5,106.5,118,3,530,2,3.15,-2.25,39,99,234,2,5,Los Angeles Lakers
120,242,.496,47,140,.366,.336,87,22,.248,14.5,.460,166,73.8,100.9,167,382,.437,156,121,.776,.408,1,5.20,.317,14.1,.499,39,19.1,106.4,94.4,120,2,502,3,-2.67,2.53,36,74,205,4,5,Memphis Grizzlies
