2P,2PA,2PCT,3P,3PA,3PAr,3PCT,AST,BLK,DEF-FT/FGA,DEF-TOV%,DEF-eFG%,DRB,DRB%,DRtg,FG,FGA,FGPCT,FTA,FTM,FTPCT,FTr,L,MOV,OFF-FT/FGA,OFF-TOV%,OFF-eFG%,ORB,ORB%,ORtg,PACE,PF,PL,PTS,PW,SOS,SRS,STL,TOV,TRB,W,gamesPlayed,team
143,320,.447,41,120,.273,.342,96,18,.230,15.6,.502,168,73.0,106.4,184,440,.418,96,82,.854,.218,4,-8.00,.186,13.1,.465,49,20.5,98.4,99.8,112,4,491,1,-1.08,-9.08,47,73,217,1,5,Atlanta Hawks
152,295,.515,60,167,.361,.359,114,23,.274,14.0,.528,166,75.5,111.8,212,462,.459,156,122,.782,.338,2,1.80,.264,13.8,.524,63,26.8,113.5,106.8,118,2,606,3,4.34,6.14,51,85,229,3,5,Brooklyn Nets
126,268,.470,54,148,.356,.365,110,22,.199,14.9,.482,185,81.5,97.5,180,416,.433,127,93,.732,.305,2,5.40,.224,13.9,.498,45,20.0,103.0,98.5,113,2,507,3,-0.65,4.76,45,76,230,3,5,Boston Celtics
97,195,.497,40,122,.385,.328,68,17,.123,10.9,.457,167,81.9,97.5,137,317,.432,121,89,.736,.382,2,3.50,.281,15.1,.495,34,19.5,101.0,99.7,70,2,403,2,-3.50,0.00,17,66,201,2,4,Charlotte Hornets
99,220,.450,42,125,.362,.336,88,14,.188,11.1,.507,144,77.4,107.6,141,345,.409,70,56,.800,.203,3,-7.25,.162,15.1,.470,44,24.2,99.9,95.1,73,3,380,1,5.15,-2.10,18,67,188,1,4,Chicago Bulls
146,268,.545,51,146,.353,.349,108,24,.163,11.7,.524,178,79.1,109.6,197,414,.476,117,92,.786,.283,2,0.60,.222,14.7,.537,46,22.8,110.2,97.5,80,2,537,3,5.10,5.70,25,80,224,3,5,Cleveland Cavaliers
135,311,.434,71,198,.389,.359,126,18,.209,14.7,.544,188,74.9,111.4,206,509,.405,142,104,.732,.279,5,-8.83,.204,12.1,.474,60,20.7,102.2,95.8,113,5,587,1,-2.16,-10.99,46,79,248,1,6,Dallas Mavericks
111,230,.483,39,111,.326,.351,91,8,.215,13.7,.505,139,79.0,105.6,150,341,.440,70,50,.714,.205,3,-3.75,.147,16.8,.497,51,29.0,101.7,95.6,82,3,389,1,-4.82,-8.57,22,75,190,1,4,Denver Nuggets
160,308,.519,49,143,.317,.343,110,11,.290,15.6,.510,154,80.6,104.5,209,451,.463,83,65,.783,.184,2,4.40,.144,12.6,.518,55,24.2,109.0,97.6,121,2,532,3,-5.83,-1.43,43,70,209,3,5,Detroit Pistons
141,243,.580,73,173,.416,.422,148,39,.200,12.7,.516,179,74.0,111.8,214,416,.514,116,99,.853,.279,2,6.40,.238,15.4,.602,44,22.2,118.1,101.6,114,2,600,3,0.21,6.61,37,85,223,3,5,Golden State Warriors
