id,name,year,position,team,mpg,gamesPlayed,twoPtPct,threePtPct,fgPct,freeThrowPct,trb,ast,pts,tov,stl,blk,plusMinus,draft,experience,height,weight,age,college,picture,fgm,fga,orbPct,astPct,tovPct,dws,obpm,vorp,injury,threePt,threePtAtt,twoPt,twoPtAtt,efgPct,ft,fta,drbPct,stlPct,usgPct,ws,dbpm,avgDistShot,number,orb,drb,pf,per,tsPct,threePAr,ftr,trbPct,blkPct,ows,wsFourtyEight,bpm,salary,createdAt,updatedAt
21,Taurean Waller-Prince,2017,SF,Atlanta Hawks,16.6,59,0.443,0.324,0.4,0.787,2.7,0.9,5.7,1,0.7,0.5,null,null,R,6-8,220,22,Baylor University,null,1.9,4.8,2.8,8.4,15.7,1.5,-3.8,-0.1,null,0.6,1.7,1.4,3.1,.458,1.3,1.6,14.6,2.2,17.2,1.1,1.5,null,null,0.4,2.2,1.6,9.8,.513,.358,.330,8.8,2.4,-0.4,.054,-2.3,null,2018-04-11T19:29:12.823Z,2018-04-13T00:39:18.840Z
24,Bojan Bogdanovic,2017,SF,Brooklyn Nets,23.1,26,0.521,0.391,0.457,0.934,3.1,0.8,12.7,1.5,0.4,0.2,null,null,2,6-8,216,27,,null,4.1,9.0,2.6,5.2,12.4,0.3,0.6,-0.1,null,1.7,4.4,2.4,4.6,.553,2.7,2.9,12.3,0.8,22.2,1.3,-3.1,null,null,0.5,2.5,1.8,14.7,.617,.491,.325,7.5,0.6,0.9,.103,-2.6,null,2018-04-11T19:29:12.944Z,2018-04-13T00:39:19.261Z
11,Ryan Kelly,2017,PF,Atlanta Hawks,6.9,16,0.222,0.4,0.286,0.833,1.1,0.5,1.6,0.3,0.3,0.3,null,null,3,6-11,230,25,Duke University,null,0.5,1.8,1.0,10.2,11.5,0.2,-6.2,-0.1,null,0.3,0.6,0.3,1.1,.357,0.3,0.4,16.7,1.8,13.7,0.1,2.3,null,null,0.1,1.1,0.3,7.8,.408,.357,.214,9.0,3.9,-0.1,.029,-3.9,null,2018-04-11T19:29:12.562Z,2018-04-13T00:39:18.869Z
14,Gary Neal,2017,SG,Atlanta Hawks,9,2,0,0,0,1,0.5,0.5,2,0,0,0,null,null,6,6-4,210,32,La Salle University Towson University,null,0.0,3.5,0.0,7.1,0.0,0.0,-11.8,-0.1,null,0.0,1.0,0.0,2.5,.000,2.0,2.0,6.0,0.0,21.2,-0.1,-4.9,null,null,0.0,0.5,0.5,-4.3,.228,.286,.571,3.1,0.0,-0.1,-0.189,-16.6,null,2018-04-11T19:29:12.670Z,2018-04-13T00:39:18.872Z
33,Sean Kilpatrick,2017,SG,Brooklyn Nets,25.1,70,0.468,0.341,0.415,0.843,4,2.2,13.1,1.9,0.6,0.1,null,null,2,6-4,210,27,University of Cincinnati,null,4.4,10.5,1.3,14.6,13.8,1.1,-1.2,-0.4,null,1.5,4.4,2.9,6.1,.486,2.9,3.5,15.4,1.2,23.8,1.4,-1.8,null,null,0.3,3.7,1.7,13.1,.546,.419,.329,8.4,0.3,0.4,.040,-3.0,null,2018-04-11T19:29:13.145Z,2018-04-13T00:39:18.884Z
45,Andrew Nicholson,2017,PF,Brooklyn Nets,8.3,28,0.443,0.188,0.39,0.583,1.2,0.3,2.5,0.4,0.4,0.2,null,null,4,6-9,250,27,St. Bonaventure University,null,1.1,2.8,5.4,4.2,11.8,0.3,-5.5,-0.2,null,0.1,0.6,1.0,2.2,.409,0.3,0.4,11.2,2.3,17.6,-0.1,-0.3,null,null,0.4,0.8,1.3,6.3,.425,.208,.156,8.3,2.2,-0.3,-0.014,-5.7,null,2018-04-11T19:29:13.501Z,2018-04-13T00:39:19.264Z
28,Randy Foye,2017,SG,Brooklyn Nets,18.6,69,0.418,0.33,0.363,0.857,2.2,2,5.2,1.2,0.5,0.1,null,null,10,6-4,213,33,Villanova University,null,1.7,4.7,0.8,15.2,18.5,0.7,-3.0,-0.6,null,1.0,2.9,0.7,1.8,.466,0.8,0.9,11.9,1.3,14.4,0.2,-1.0,null,null,0.1,2.1,1.4,7.3,.506,.625,.194,6.4,0.5,-0.6,.006,-3.9,null,2018-04-11T19:29:13.034Z,2018-04-13T00:39:18.888Z
30,Justin Hamilton,2017,C,Brooklyn Nets,18.4,64,0.598,0.306,0.459,0.75,4.1,0.9,6.9,0.7,0.5,0.7,null,null,2,7-0,260,26,Iowa State University Louisiana State University,null,2.7,5.9,6.5,7.3,9.7,1.0,-0.9,0.4,null,0.9,2.8,1.9,3.1,.532,0.6,0.8,17.0,1.2,16.2,2.1,0.2,null,null,1.1,3.0,1.4,13.6,.550,.475,.137,11.8,2.8,1.0,.084,-0.8,null,2018-04-11T19:29:13.062Z,2018-04-13T00:39:18.893Z
39,Luis Scola,2017,PF,Brooklyn Nets,12.8,36,0.535,0.34,0.47,0.676,3.9,1,5.1,0.9,0.4,0.1,null,null,9,6-9,240,36,,null,2.0,4.2,11.9,12.7,16.9,0.4,-0.8,0.1,null,0.5,1.4,1.5,2.8,.526,0.7,1.0,19.9,1.4,18.7,0.8,-0.4,null,null,1.4,2.4,1.8,13.9,.550,.331,.245,16.0,0.7,0.4,.082,-1.1,null,2018-04-11T19:29:13.305Z,2018-04-13T00:39:18.904Z
23,Anthony Bennett,2017,PF,Brooklyn Nets,11.5,23,0.568,0.271,0.413,0.722,3.4,0.5,5,0.5,0.2,0.1,null,null,3,6-8,245,23,University of Nevada Las Vegas,null,1.7,4.0,10.2,7.1,10.0,0.2,-0.8,-0.1,null,0.6,2.1,1.1,1.9,.484,1.1,1.6,21.0,0.9,19.4,0.5,-2.2,null,null,1.1,2.3,0.8,14.7,.533,.522,.391,15.6,0.9,0.3,.090,-3.0,null,2018-04-11T19:29:12.910Z,2018-04-13T00:39:18.912Z
1077,Al Horford,2015,C,Atlanta Hawks,30.5,76,0.547,0.306,0.538,0.759,7.2,3.2,15.2,1.3,0.9,1.3,null,null,7,6-10,245,28,University of Florida,null,6.8,12.7,6.7,18.6,8.9,3.6,1.3,3.4,null,0.1,0.5,6.7,12.2,.544,1.4,1.9,19.8,1.5,22.2,8.7,2.5,null,null,1.7,5.4,1.6,21.4,.563,.037,.146,13.4,3.5,5.1,.179,3.8,null,2018-04-11T19:35:43.361Z,2018-04-13T00:40:18.945Z
54,Marcus Smart,2017,SG,Boston Celtics,30.4,79,0.42,0.283,0.359,0.812,3.9,4.6,10.6,2,1.6,0.4,null,null,2,6-4,220,22,Oklahoma State University,null,3.4,9.5,3.7,22.0,15.6,2.7,-1.1,1.0,null,1.2,4.2,2.2,5.3,.422,2.6,3.2,10.4,2.6,18.8,3.2,0.9,null,null,1.0,2.9,2.4,12.0,.486,.443,.334,7.1,1.2,0.5,.064,-0.3,null,2018-04-11T19:29:13.732Z,2018-04-13T00:39:18.938Z
42,Avery Bradley,2017,SG,Boston Celtics,33.4,55,0.504,0.39,0.463,0.731,6.1,2.2,16.3,1.6,1.2,0.2,null,null,6,6-2,180,26,University of Texas at Austin,null,6.5,14.1,4.0,11.0,9.7,2.0,-0.2,0.7,null,2.0,5.0,4.6,9.1,.533,1.2,1.7,16.2,1.8,21.9,3.1,-0.4,null,null,1.2,4.9,2.6,14.4,.548,.357,.120,10.1,0.5,1.1,.081,-0.5,null,2018-04-11T19:29:13.400Z,2018-04-13T00:39:18.941Z
51,Kelly Olynyk,2017,C,Boston Celtics,20.5,75,0.608,0.354,0.512,0.732,4.8,2,9,1.3,0.6,0.4,null,null,3,7-0,238,25,Gonzaga University,null,3.5,6.8,5.3,15.2,14.6,1.9,0.1,1.0,null,0.9,2.6,2.6,4.2,.579,1.2,1.6,20.7,1.4,19.0,4.1,0.5,null,null,1.0,3.8,2.8,15.3,.603,.378,.242,13.1,1.5,2.2,.127,0.7,null,2018-04-11T19:29:13.646Z,2018-04-13T00:39:18.944Z
46,Gerald Green,2017,SF,Boston Celtics,11.4,47,0.463,0.351,0.409,0.805,1.8,0.7,5.6,0.5,0.2,0.1,null,null,9,6-7,205,31,,null,2.0,4.9,3.3,9.8,9.1,0.4,-2.0,-0.4,null,0.8,2.4,1.2,2.6,.494,0.7,0.9,13.9,0.8,22.7,0.6,-2.8,null,null,0.3,1.4,1.0,11.9,.524,.478,.177,8.7,1.1,0.1,.050,-4.7,null,2018-04-11T19:29:13.514Z,2018-04-13T00:39:18.947Z
