attend,date,home,homePts,start,visitor,visitorPts
17026,Sun Dec 1 2019,Brooklyn Nets,106,3:00p,Miami Heat,109
12276,Sun Dec 1 2019,Minnesota Timberwolves,107,3:30p,Memphis Grizzlies,115
18005,Sun Dec 1 2019,New York Knicks,104,3:30p,Boston Celtics,113
18997,Sun Dec 1 2019,Los Angeles Lakers,100,4:00p,Dallas Mavericks,114
14270,Sun Dec 1 2019,Detroit Pistons,132,5:00p,San Antonio Spurs,98
15427,Sun Dec 1 2019,New Orleans Pelicans,104,5:00p,Oklahoma City Thunder,107
15052,Sun Dec 1 2019,Orlando Magic,100,6:00p,Golden State Warriors,96
18132,Sun Dec 1 2019,Toronto Raptors,130,6:00p,Utah Jazz,110
19068,Sun Dec 1 2019,Los Angeles Clippers,150,10:30p,Washington Wizards,125
11221,Mon Dec 2 2019,Charlotte Hornets,104,7:00p,Phoenix Suns,109
20208,Mon Dec 2 2019,Philadelphia 76ers,103,7:00p,Utah Jazz,94
14278,Mon Dec 2 2019,Atlanta Hawks,104,7:30p,Golden State Warriors,79
11919,Mon Dec 2 2019,Memphis Grizzlies,104,8:00p,Indiana Pacers,117
17385,Mon Dec 2 2019,Milwaukee Bucks,132,8:00p,New York Knicks,88
17257,Mon Dec 2 2019,Sacramento Kings,106,10:00p,Chicago Bulls,113
17504,Tue Dec 3 2019,Cleveland Cavaliers,94,7:00p,Detroit Pistons,127
13159,Tue Dec 3 2019,Washington Wizards,120,7:00p,Orlando Magic,127
14664,Tue Dec 3 2019,New Orleans Pelicans,97,7:30p,Dallas Mavericks,118
19800,Tue Dec 3 2019,Toronto Raptors,110,7:30p,Miami Heat,121
18354,Tue Dec 3 2019,San Antonio Spurs,135,8:30p,Houston Rockets,133
19658,Tue Dec 3 2019,Denver Nuggets,96,9:00p,Los Angeles Lakers,105
19068,Tue Dec 3 2019,Los Angeles Clippers,117,10:00p,Portland Trail Blazers,97
14355,Wed Dec 4 2019,Charlotte Hornets,106,7:00p,Golden State Warriors,91
15742,Wed Dec 4 2019,Detroit Pistons,103,7:00p,Milwaukee Bucks,127
15176,Wed Dec 4 2019,Orlando Magic,128,7:00p,Phoenix Suns,114
15694,Wed Dec 4 2019,Atlanta Hawks,118,7:30p,Brooklyn Nets,130
19156,Wed Dec 4 2019,Boston Celtics,112,7:30p,Miami Heat,93
15017,Wed Dec 4 2019,Chicago Bulls,106,8:00p,Memphis Grizzlies,99
18203,Wed Dec 4 2019,Oklahoma City Thunder,100,8:00p,Indiana Pacers,107
19671,Wed Dec 4 2019,Dallas Mavericks,121,8:30p,Minnesota Timberwolves,114
18306,Wed Dec 4 2019,Utah Jazz,96,9:00p,Los Angeles Lakers,121
19393,Wed Dec 4 2019,Portland Trail Blazers,127,10:00p,Sacramento Kings,116
16554,Thu Dec 5 2019,Washington Wizards,119,7:00p,Philadelphia 76ers,113
18171,Thu Dec 5 2019,New York Knicks,92,7:30p,Denver Nuggets,129
19800,Thu Dec 5 2019,Toronto Raptors,109,7:30p,Houston Rockets,119
15607,Thu Dec 5 2019,New Orleans Pelicans,132,8:00p,Phoenix Suns,139
15075,Fri Dec 6 2019,Charlotte Hornets,104,7:00p,Brooklyn Nets,111
18446,Fri Dec 6 2019,Cleveland Cavaliers,87,7:00p,Orlando Magic,93
14894,Fri Dec 6 2019,Detroit Pistons,108,7:00p,Indiana Pacers,101
19156,Fri Dec 6 2019,Boston Celtics,108,8:00p,Denver Nuggets,95
18841,Fri Dec 6 2019,Chicago Bulls,98,8:00p,Golden State Warriors,100
19600,Fri Dec 6 2019,Miami Heat,112,8:00p,Washington Wizards,103
18203,Fri Dec 6 2019,Oklahoma City Thunder,139,8:00p,Minnesota Timberwolves,127
17732,Fri Dec 6 2019,Milwaukee Bucks,119,8:30p,Los Angeles Clippers,91
18354,Fri Dec 6 2019,San Antonio Spurs,105,8:30p,Sacramento Kings,104
19912,Fri Dec 6 2019,Portland Trail Blazers,113,10:30p,Los Angeles Lakers,136
19456,Sat Dec 7 2019,Dallas Mavericks,130,2:00p,New Orleans Pelicans,84
19110,Sat Dec 7 2019,New York Knicks,103,7:30p,Indiana Pacers,104
20844,Sat Dec 7 2019,Philadelphia 76ers,141,7:30p,Cleveland Cavaliers,94
18055,Sat Dec 7 2019,Houston Rockets,115,8:00p,Phoenix Suns,109
18306,Sat Dec 7 2019,Utah Jazz,126,10:00p,Memphis Grizzlies,112
16679,Sun Dec 8 2019,Brooklyn Nets,105,3:00p,Denver Nuggets,102
15489,Sun Dec 8 2019,Charlotte Hornets,107,5:00p,Atlanta Hawks,122
19600,Sun Dec 8 2019,Miami Heat,110,6:00p,Chicago Bulls,105
20313,Sun Dec 8 2019,Philadelphia 76ers,110,6:00p,Toronto Raptors,104
15946,Sun Dec 8 2019,Washington Wizards,119,6:00p,Los Angeles Clippers,135
19566,Sun Dec 8 2019,Dallas Mavericks,106,7:00p,Sacramento Kings,110
19393,Sun Dec 8 2019,Portland Trail Blazers,96,9:00p,Oklahoma City Thunder,108
18997,Sun Dec 8 2019,Los Angeles Lakers,142,9:30p,Minnesota Timberwolves,125
14644,Mon Dec 9 2019,Indiana Pacers,99,7:00p,Los Angeles Clippers,110
19156,Mon Dec 9 2019,Boston Celtics,110,7:30p,Cleveland Cavaliers,88
14775,Mon Dec 9 2019,Chicago Bulls,92,8:00p,Toronto Raptors,93
18055,Mon Dec 9 2019,Houston Rockets,118,8:00p,Sacramento Kings,119
17385,Mon Dec 9 2019,Milwaukee Bucks,110,8:00p,Orlando Magic,101
13694,Mon Dec 9 2019,New Orleans Pelicans,103,8:00p,Detroit Pistons,105
13230,Mon Dec 9 2019,Phoenix Suns,125,9:00p,Minnesota Timberwolves,109
18306,Mon Dec 9 2019,Utah Jazz,90,9:00p,Oklahoma City Thunder,104
18064,Mon Dec 9 2019,Golden State Warriors,102,10:30p,Memphis Grizzlies,110
10626,Tue Dec 10 2019,Charlotte Hornets,114,7:00p,Washington Wizards,107
19600,Tue Dec 10 2019,Miami Heat,135,8:00p,Atlanta Hawks,121
20591,Tue Dec 10 2019,Philadelphia 76ers,97,8:00p,Denver Nuggets,92
19393,Tue Dec 10 2019,Portland Trail Blazers,115,10:00p,New York Knicks,87
17122,Wed Dec 11 2019,Cleveland Cavaliers,110,7:00p,Houston Rockets,116
15637,Wed Dec 11 2019,Indiana Pacers,122,7:00p,Boston Celtics,117
18846,Wed Dec 11 2019,Orlando Magic,87,7:00p,Los Angeles Lakers,96
20144,Wed Dec 11 2019,Toronto Raptors,92,7:00p,Los Angeles Clippers,112
15631,Wed Dec 11 2019,Brooklyn Nets,108,7:30p,Charlotte Hornets,113
15084,Wed Dec 11 2019,Chicago Bulls,136,8:00p,Atlanta Hawks,102
12369,Wed Dec 11 2019,Minnesota Timberwolves,116,8:00p,Utah Jazz,127
12254,Wed Dec 11 2019,Phoenix Suns,108,9:00p,Memphis Grizzlies,115
