attend,date,home,homePts,start,visitor,visitorPts
19068,Sat Feb 1 2020,Los Angeles Clippers,118,3:30p,Minnesota Timberwolves,106
17923,Sat Feb 1 2020,Indiana Pacers,85,7:00p,New York Knicks,92
18846,Sat Feb 1 2020,Orlando Magic,89,7:00p,Miami Heat,102
18410,Sat Feb 1 2020,Cleveland Cavaliers,112,8:00p,Golden State Warriors,131
18196,Sat Feb 1 2020,Washington Wizards,113,8:00p,Brooklyn Nets,107
19156,Sat Feb 1 2020,Boston Celtics,116,8:30p,Philadelphia 76ers,95
20328,Sat Feb 1 2020,Dallas Mavericks,123,8:30p,Atlanta Hawks,100
18615,Sat Feb 1 2020,San Antonio Spurs,114,9:00p,Charlotte Hornets,90
17583,Sat Feb 1 2020,Sacramento Kings,113,10:00p,Los Angeles Lakers,129
19603,Sat Feb 1 2020,Portland Trail Blazers,124,10:30p,Utah Jazz,107
15488,Sun Feb 2 2020,Detroit Pistons,128,12:30p,Denver Nuggets,123
18055,Sun Feb 2 2020,Houston Rockets,117,2:00p,New Orleans Pelicans,109
17754,Sun Feb 2 2020,Milwaukee Bucks,129,2:00p,Phoenix Suns,108
19800,Sun Feb 2 2020,Toronto Raptors,129,3:00p,Chicago Bulls,102
12337,Mon Feb 3 2020,Charlotte Hornets,100,7:00p,Orlando Magic,112
16303,Mon Feb 3 2020,Cleveland Cavaliers,134,7:00p,New York Knicks,139
15086,Mon Feb 3 2020,Indiana Pacers,103,7:00p,Dallas Mavericks,112
17120,Mon Feb 3 2020,Washington Wizards,117,7:00p,Golden State Warriors,125
16231,Mon Feb 3 2020,Atlanta Hawks,115,7:30p,Boston Celtics,123
14891,Mon Feb 3 2020,Brooklyn Nets,119,7:30p,Phoenix Suns,97
19725,Mon Feb 3 2020,Miami Heat,137,7:30p,Philadelphia 76ers,106
14597,Mon Feb 3 2020,Memphis Grizzlies,96,8:00p,Detroit Pistons,82
15819,Mon Feb 3 2020,Sacramento Kings,113,10:00p,Minnesota Timberwolves,109
19068,Mon Feb 3 2020,Los Angeles Clippers,108,10:30p,San Antonio Spurs,105
15424,Tue Feb 4 2020,New Orleans Pelicans,108,7:30p,Milwaukee Bucks,120
18055,Tue Feb 4 2020,Houston Rockets,125,8:00p,Charlotte Hornets,110
19520,Tue Feb 4 2020,Denver Nuggets,127,9:00p,Portland Trail Blazers,99
18997,Tue Feb 4 2020,Los Angeles Lakers,129,10:00p,San Antonio Spurs,102
13707,Wed Feb 5 2020,Detroit Pistons,116,7:00p,Phoenix Suns,108
19156,Wed Feb 5 2020,Boston Celtics,116,7:30p,Orlando Magic,100
14352,Wed Feb 5 2020,Brooklyn Nets,129,7:30p,Golden State Warriors,88
19800,Wed Feb 5 2020,Toronto Raptors,119,7:30p,Indiana Pacers,118
10779,Wed Feb 5 2020,Minnesota Timberwolves,120,8:00p,Atlanta Hawks,127
