attend,date,home,homePts,start,visitor,visitorPts
14921,Wed Jan 1 2020,Washington Wizards,101,6:00p,Orlando Magic,122
19812,Wed Jan 1 2020,New York Knicks,117,7:30p,Portland Trail Blazers,93
17819,Wed Jan 1 2020,Milwaukee Bucks,106,8:00p,Minnesota Timberwolves,104
18997,Wed Jan 1 2020,Los Angeles Lakers,117,10:30p,Phoenix Suns,107
17859,Thu Jan 2 2020,Cleveland Cavaliers,106,7:00p,Charlotte Hornets,109
16688,Thu Jan 2 2020,Indiana Pacers,116,7:00p,Denver Nuggets,124
19939,Thu Jan 2 2020,Miami Heat,84,7:30p,Toronto Raptors,76
19398,Thu Jan 2 2020,Chicago Bulls,98,8:00p,Utah Jazz,102
15477,Thu Jan 2 2020,Minnesota Timberwolves,99,8:00p,Golden State Warriors,84
20289,Thu Jan 2 2020,Dallas Mavericks,123,8:30p,Brooklyn Nets,111
18354,Thu Jan 2 2020,San Antonio Spurs,103,8:30p,Oklahoma City Thunder,109
17351,Thu Jan 2 2020,Sacramento Kings,128,10:00p,Memphis Grizzlies,123
19068,Thu Jan 2 2020,Los Angeles Clippers,126,10:30p,Detroit Pistons,112
19156,Fri Jan 3 2020,Boston Celtics,109,7:00p,Atlanta Hawks,106
17198,Fri Jan 3 2020,Orlando Magic,105,7:00p,Miami Heat,85
17945,Fri Jan 3 2020,Washington Wizards,103,7:00p,Portland Trail Blazers,122
18055,Fri Jan 3 2020,Houston Rockets,118,8:00p,Philadelphia 76ers,108
18055,Fri Jan 3 2020,Phoenix Suns,120,9:00p,New York Knicks,112
18997,Fri Jan 3 2020,Los Angeles Lakers,123,10:30p,New Orleans Pelicans,113
19068,Sat Jan 4 2020,Los Angeles Clippers,114,3:30p,Memphis Grizzlies,140
17732,Sat Jan 4 2020,Brooklyn Nets,102,6:00p,Toronto Raptors,121
16913,Sat Jan 4 2020,Orlando Magic,96,7:00p,Utah Jazz,109
16420,Sat Jan 4 2020,Atlanta Hawks,116,7:30p,Indiana Pacers,111
19432,Sat Jan 4 2020,Cleveland Cavaliers,106,7:30p,Oklahoma City Thunder,121
21130,Sat Jan 4 2020,Chicago Bulls,104,8:00p,Boston Celtics,111
16233,Sat Jan 4 2020,Washington Wizards,128,8:00p,Denver Nuggets,114
20327,Sat Jan 4 2020,Dallas Mavericks,120,8:30p,Charlotte Hornets,123
18064,Sat Jan 4 2020,Golden State Warriors,104,8:30p,Detroit Pistons,111
18002,Sat Jan 4 2020,Milwaukee Bucks,127,8:30p,San Antonio Spurs,118
16808,Sat Jan 4 2020,Sacramento Kings,115,10:00p,New Orleans Pelicans,117
19068,Sun Jan 5 2020,Los Angeles Clippers,135,3:30p,New York Knicks,132
19846,Sun Jan 5 2020,Miami Heat,122,6:00p,Portland Trail Blazers,111
16159,Sun Jan 5 2020,Cleveland Cavaliers,103,7:30p,Minnesota Timberwolves,118
14181,Sun Jan 5 2020,Phoenix Suns,114,8:00p,Memphis Grizzlies,121
18997,Sun Jan 5 2020,Los Angeles Lakers,106,10:00p,Detroit Pistons,99
13009,Mon Jan 6 2020,Charlotte Hornets,104,7:00p,Indiana Pacers,115
15008,Mon Jan 6 2020,Orlando Magic,101,7:00p,Brooklyn Nets,89
20561,Mon Jan 6 2020,Philadelphia 76ers,120,7:00p,Oklahoma City Thunder,113
17963,Mon Jan 6 2020,Washington Wizards,99,7:00p,Boston Celtics,94
15286,Mon Jan 6 2020,Atlanta Hawks,115,7:30p,Denver Nuggets,123
14138,Mon Jan 6 2020,New Orleans Pelicans,126,8:00p,Utah Jazz,128
20238,Mon Jan 6 2020,Dallas Mavericks,118,8:30p,Chicago Bulls,110
18354,Mon Jan 6 2020,San Antonio Spurs,126,8:30p,Milwaukee Bucks,104
15819,Mon Jan 6 2020,Sacramento Kings,111,10:00p,Golden State Warriors,98
17274,Tue Jan 7 2020,Cleveland Cavaliers,113,7:00p,Detroit Pistons,115
