attend,date,home,homePts,start,visitor,visitorPts
19149,Sun Mar 1 2020,Charlotte Hornets,85,1:00p,Milwaukee Bucks,93
19068,Sun Mar 1 2020,Los Angeles Clippers,136,3:30p,Philadelphia 76ers,130
18058,Sun Mar 1 2020,Minnesota Timberwolves,91,3:30p,Dallas Mavericks,111
19777,Sun Mar 1 2020,Denver Nuggets,133,6:00p,Toronto Raptors,118
17499,Sun Mar 1 2020,Sacramento Kings,106,6:00p,Detroit Pistons,100
18547,Sun Mar 1 2020,New Orleans Pelicans,114,8:00p,Los Angeles Lakers,122
18064,Sun Mar 1 2020,Golden State Warriors,110,8:30p,Washington Wizards,124
15453,Mon Mar 2 2020,Cleveland Cavaliers,113,7:00p,Utah Jazz,126
18142,Mon Mar 2 2020,New York Knicks,125,7:00p,Houston Rockets,123
18078,Mon Mar 2 2020,Orlando Magic,107,7:00p,Portland Trail Blazers,130
16207,Mon Mar 2 2020,Atlanta Hawks,88,7:30p,Memphis Grizzlies,127
19600,Mon Mar 2 2020,Miami Heat,105,7:30p,Milwaukee Bucks,89
18407,Mon Mar 2 2020,Chicago Bulls,109,8:00p,Dallas Mavericks,107
17635,Mon Mar 2 2020,San Antonio Spurs,111,8:30p,Indiana Pacers,116
12008,Tue Mar 3 2020,Charlotte Hornets,103,7:00p,San Antonio Spurs,104
19156,Tue Mar 3 2020,Boston Celtics,120,7:30p,Brooklyn Nets,129
15264,Tue Mar 3 2020,New Orleans Pelicans,134,8:00p,Minnesota Timberwolves,139
18203,Tue Mar 3 2020,Oklahoma City Thunder,94,8:00p,Los Angeles Clippers,109
19520,Tue Mar 3 2020,Denver Nuggets,100,9:00p,Golden State Warriors,116
15553,Tue Mar 3 2020,Phoenix Suns,114,9:00p,Toronto Raptors,123
18997,Tue Mar 3 2020,Los Angeles Lakers,120,10:00p,Philadelphia 76ers,107
16419,Tue Mar 3 2020,Sacramento Kings,133,10:00p,Washington Wizards,126
16897,Wed Mar 4 2020,Cleveland Cavaliers,106,7:00p,Boston Celtics,112
15138,Wed Mar 4 2020,Detroit Pistons,107,7:00p,Oklahoma City Thunder,114
17695,Wed Mar 4 2020,Milwaukee Bucks,119,7:00p,Indiana Pacers,100
16941,Wed Mar 4 2020,Brooklyn Nets,79,7:30p,Memphis Grizzlies,118
16588,Wed Mar 4 2020,New York Knicks,104,7:30p,Utah Jazz,112
19600,Wed Mar 4 2020,Miami Heat,116,7:30p,Orlando Magic,113
13392,Wed Mar 4 2020,Minnesota Timberwolves,115,8:00p,Chicago Bulls,108
20459,Wed Mar 4 2020,Dallas Mavericks,127,9:30p,New Orleans Pelicans,123
19393,Wed Mar 4 2020,Portland Trail Blazers,125,10:00p,Washington Wizards,104
13311,Thu Mar 5 2020,Charlotte Hornets,112,7:00p,Denver Nuggets,114
18055,Thu Mar 5 2020,Houston Rockets,105,8:00p,Los Angeles Clippers,120
15485,Thu Mar 5 2020,Sacramento Kings,108,10:00p,Philadelphia 76ers,125
18064,Thu Mar 5 2020,Golden State Warriors,113,10:30p,Toronto Raptors,121
