attend,date,home,homePts,start,visitor,visitorPts
17732,Fri Nov 1 2019,Brooklyn Nets,123,7:00p,Houston Rockets,116
16079,Fri Nov 1 2019,Indiana Pacers,102,7:00p,Cleveland Cavaliers,95
15105,Fri Nov 1 2019,Orlando Magic,91,7:00p,Milwaukee Bucks,123
18624,Fri Nov 1 2019,Boston Celtics,104,7:30p,New York Knicks,102
20671,Fri Nov 1 2019,Chicago Bulls,112,8:00p,Detroit Pistons,106
20358,Fri Nov 1 2019,Dallas Mavericks,110,9:30p,Los Angeles Lakers,119
16273,Fri Nov 1 2019,Sacramento Kings,102,10:00p,Utah Jazz,101
18064,Fri Nov 1 2019,Golden State Warriors,110,10:30p,San Antonio Spurs,127
18203,Sat Nov 2 2019,Oklahoma City Thunder,115,5:00p,New Orleans Pelicans,104
17222,Sat Nov 2 2019,Detroit Pistons,113,7:00p,Brooklyn Nets,109
17025,Sat Nov 2 2019,Orlando Magic,87,7:00p,Denver Nuggets,91
14144,Sat Nov 2 2019,Memphis Grizzlies,105,8:00p,Phoenix Suns,114
17637,Sat Nov 2 2019,Milwaukee Bucks,115,8:00p,Toronto Raptors,105
15150,Sat Nov 2 2019,Washington Wizards,109,8:00p,Minnesota Timberwolves,131
18064,Sat Nov 2 2019,Golden State Warriors,87,8:30p,Charlotte Hornets,93
19669,Sat Nov 2 2019,Portland Trail Blazers,128,10:00p,Philadelphia 76ers,129
17073,Sun Nov 3 2019,Indiana Pacers,108,5:00p,Chicago Bulls,95
19724,Sun Nov 3 2019,Miami Heat,129,6:00p,Houston Rockets,100
19812,Sun Nov 3 2019,New York Knicks,92,6:00p,Sacramento Kings,113
18610,Sun Nov 3 2019,San Antonio Spurs,96,7:00p,Los Angeles Lakers,103
18078,Sun Nov 3 2019,Cleveland Cavaliers,111,7:30p,Dallas Mavericks,131
19068,Sun Nov 3 2019,Los Angeles Clippers,105,9:00p,Utah Jazz,94
13052,Mon Nov 4 2019,Washington Wizards,115,7:00p,Detroit Pistons,99
17194,Mon Nov 4 2019,Brooklyn Nets,135,7:30p,New Orleans Pelicans,125
14197,Mon Nov 4 2019,Memphis Grizzlies,100,8:00p,Houston Rockets,107
16271,Mon Nov 4 2019,Minnesota Timberwolves,106,8:00p,Milwaukee Bucks,134
14285,Mon Nov 4 2019,Phoenix Suns,114,9:00p,Philadelphia 76ers,109
18064,Mon Nov 4 2019,Golden State Warriors,127,10:30p,Portland Trail Blazers,118
13341,Tue Nov 5 2019,Charlotte Hornets,122,7:00p,Indiana Pacers,120
17709,Tue Nov 5 2019,Cleveland Cavaliers,113,7:00p,Boston Celtics,119
14025,Tue Nov 5 2019,Atlanta Hawks,108,7:30p,San Antonio Spurs,100
21193,Tue Nov 5 2019,Chicago Bulls,112,8:00p,Los Angeles Lakers,118
18203,Tue Nov 5 2019,Oklahoma City Thunder,102,8:00p,Orlando Magic,94
18010,Tue Nov 5 2019,Denver Nuggets,109,9:00p,Miami Heat,89
15463,Wed Nov 6 2019,Detroit Pistons,122,7:00p,New York Knicks,102
16171,Wed Nov 6 2019,Indiana Pacers,121,7:00p,Washington Wizards,106
15049,Wed Nov 6 2019,Atlanta Hawks,93,7:30p,Chicago Bulls,113
18055,Wed Nov 6 2019,Houston Rockets,129,7:30p,Golden State Warriors,112
19800,Wed Nov 6 2019,Toronto Raptors,124,7:30p,Sacramento Kings,120
13503,Wed Nov 6 2019,Memphis Grizzlies,137,8:00p,Minnesota Timberwolves,121
19487,Wed Nov 6 2019,Dallas Mavericks,107,8:30p,Orlando Magic,106
18306,Wed Nov 6 2019,Utah Jazz,106,9:00p,Philadelphia 76ers,104
19068,Wed Nov 6 2019,Los Angeles Clippers,124,10:00p,Milwaukee Bucks,129
18487,Thu Nov 7 2019,Charlotte Hornets,87,8:00p,Boston Celtics,108
18354,Thu Nov 7 2019,San Antonio Spurs,121,8:30p,Oklahoma City Thunder,112
15498,Thu Nov 7 2019,Phoenix Suns,108,9:00p,Miami Heat,124
19068,Thu Nov 7 2019,Los Angeles Clippers,107,10:30p,Portland Trail Blazers,101
15544,Fri Nov 8 2019,Indiana Pacers,112,7:00p,Detroit Pistons,106
17021,Fri Nov 8 2019,Orlando Magic,118,7:00p,Memphis Grizzlies,86
16946,Fri Nov 8 2019,Washington Wizards,100,7:00p,Cleveland Cavaliers,113
16447,Fri Nov 8 2019,Atlanta Hawks,109,7:30p,Sacramento Kings,121
15647,Fri Nov 8 2019,Minnesota Timberwolves,125,8:00p,Golden State Warriors,119
16337,Fri Nov 8 2019,New Orleans Pelicans,104,8:00p,Toronto Raptors,122
20257,Fri Nov 8 2019,Dallas Mavericks,102,8:30p,New York Knicks,106
19520,Fri Nov 8 2019,Denver Nuggets,100,9:00p,Philadelphia 76ers,97
18306,Fri Nov 8 2019,Utah Jazz,103,9:00p,Milwaukee Bucks,100
20089,Fri Nov 8 2019,Portland Trail Blazers,115,10:00p,Brooklyn Nets,119
18997,Fri Nov 8 2019,Los Angeles Lakers,95,10:30p,Miami Heat,80
