attend,date,home,homePts,start,visitor,visitorPts
20787,Tue Oct 22 2019,Toronto Raptors,130,8:00p,New Orleans Pelicans,122
19068,Tue Oct 22 2019,Los Angeles Clippers,112,10:30p,Los Angeles Lakers,102
15424,Wed Oct 23 2019,Charlotte Hornets,126,7:00p,Chicago Bulls,125
17923,Wed Oct 23 2019,Indiana Pacers,110,7:00p,Detroit Pistons,119
18846,Wed Oct 23 2019,Orlando Magic,94,7:00p,Cleveland Cavaliers,85
17732,Wed Oct 23 2019,Brooklyn Nets,126,7:30p,Minnesota Timberwolves,127
19600,Wed Oct 23 2019,Miami Heat,120,7:30p,Memphis Grizzlies,101
20422,Wed Oct 23 2019,Philadelphia 76ers,107,7:30p,Boston Celtics,93
19816,Wed Oct 23 2019,Dallas Mavericks,108,8:30p,Washington Wizards,100
18354,Wed Oct 23 2019,San Antonio Spurs,120,8:30p,New York Knicks,111
18306,Wed Oct 23 2019,Utah Jazz,100,9:00p,Oklahoma City Thunder,95
18055,Wed Oct 23 2019,Phoenix Suns,124,10:00p,Sacramento Kings,95
19991,Wed Oct 23 2019,Portland Trail Blazers,100,10:00p,Denver Nuggets,108
20338,Thu Oct 24 2019,Detroit Pistons,100,7:00p,Atlanta Hawks,117
18055,Thu Oct 24 2019,Houston Rockets,111,8:00p,Milwaukee Bucks,117
18064,Thu Oct 24 2019,Golden State Warriors,122,10:30p,Los Angeles Clippers,141
18624,Fri Oct 25 2019,Boston Celtics,112,7:00p,Toronto Raptors,106
14879,Fri Oct 25 2019,Charlotte Hornets,99,7:00p,Minnesota Timberwolves,121
17732,Fri Oct 25 2019,Brooklyn Nets,113,7:30p,New York Knicks,109
17794,Fri Oct 25 2019,Memphis Grizzlies,102,8:00p,Chicago Bulls,110
17027,Fri Oct 25 2019,New Orleans Pelicans,116,8:00p,Dallas Mavericks,123
18203,Fri Oct 25 2019,Oklahoma City Thunder,85,8:00p,Washington Wizards,97
19557,Fri Oct 25 2019,Denver Nuggets,108,9:00p,Phoenix Suns,107
17583,Fri Oct 25 2019,Sacramento Kings,112,10:00p,Portland Trail Blazers,122
18997,Fri Oct 25 2019,Los Angeles Lakers,95,10:30p,Utah Jazz,86
17467,Sat Oct 26 2019,Milwaukee Bucks,126,5:00p,Miami Heat,131
16207,Sat Oct 26 2019,Detroit Pistons,111,7:00p,Philadelphia 76ers,117
17078,Sat Oct 26 2019,Atlanta Hawks,103,7:30p,Orlando Magic,99
19812,Sat Oct 26 2019,New York Knicks,95,7:30p,Boston Celtics,118
21498,Sat Oct 26 2019,Chicago Bulls,84,8:00p,Toronto Raptors,108
19432,Sat Oct 26 2019,Cleveland Cavaliers,110,8:00p,Indiana Pacers,99
18055,Sat Oct 26 2019,Houston Rockets,126,8:00p,New Orleans Pelicans,123
18354,Sat Oct 26 2019,San Antonio Spurs,124,8:30p,Washington Wizards,122
18306,Sat Oct 26 2019,Utah Jazz,113,9:00p,Sacramento Kings,81
15802,Sat Oct 26 2019,Phoenix Suns,130,10:00p,Los Angeles Clippers,122
18203,Sun Oct 27 2019,Oklahoma City Thunder,120,3:30p,Golden State Warriors,92
15517,Sun Oct 27 2019,Memphis Grizzlies,134,6:00p,Brooklyn Nets,133
19707,Sun Oct 27 2019,Dallas Mavericks,119,7:00p,Portland Trail Blazers,121
17049,Sun Oct 27 2019,Minnesota Timberwolves,116,7:00p,Miami Heat,109
18997,Sun Oct 27 2019,Los Angeles Lakers,120,9:30p,Charlotte Hornets,101
19812,Mon Oct 28 2019,New York Knicks,105,7:00p,Chicago Bulls,98
13565,Mon Oct 28 2019,Detroit Pistons,96,7:00p,Indiana Pacers,94
19800,Mon Oct 28 2019,Toronto Raptors,104,7:30p,Orlando Magic,95
14094,Mon Oct 28 2019,Atlanta Hawks,103,7:30p,Philadelphia 76ers,105
18055,Mon Oct 28 2019,Houston Rockets,116,8:00p,Oklahoma City Thunder,112
17385,Mon Oct 28 2019,Milwaukee Bucks,129,8:00p,Cleveland Cavaliers,112
17307,Mon Oct 28 2019,New Orleans Pelicans,123,8:00p,Golden State Warriors,134
18083,Mon Oct 28 2019,San Antonio Spurs,113,8:30p,Portland Trail Blazers,110
14805,Mon Oct 28 2019,Phoenix Suns,95,10:00p,Utah Jazz,96
15870,Mon Oct 28 2019,Sacramento Kings,94,10:00p,Denver Nuggets,101
19068,Mon Oct 28 2019,Los Angeles Clippers,111,10:30p,Charlotte Hornets,96
19600,Tue Oct 29 2019,Miami Heat,112,7:30p,Atlanta Hawks,97
16605,Tue Oct 29 2019,Denver Nuggets,106,9:00p,Dallas Mavericks,109
18997,Tue Oct 29 2019,Los Angeles Lakers,120,10:30p,Memphis Grizzlies,91
17595,Wed Oct 30 2019,Cleveland Cavaliers,117,7:00p,Chicago Bulls,111
17456,Wed Oct 30 2019,Orlando Magic,95,7:00p,New York Knicks,83
20204,Wed Oct 30 2019,Philadelphia 76ers,117,7:00p,Minnesota Timberwolves,95
18624,Wed Oct 30 2019,Boston Celtics,116,7:30p,Milwaukee Bucks,105
17083,Wed Oct 30 2019,Brooklyn Nets,108,7:30p,Indiana Pacers,118
19800,Wed Oct 30 2019,Toronto Raptors,125,7:30p,Detroit Pistons,113
18203,Wed Oct 30 2019,Oklahoma City Thunder,99,8:00p,Portland Trail Blazers,102
20476,Wed Oct 30 2019,Washington Wizards,158,8:00p,Houston Rockets,159
15416,Wed Oct 30 2019,Sacramento Kings,111,10:00p,Charlotte Hornets,118
18306,Wed Oct 30 2019,Utah Jazz,110,10:00p,Los Angeles Clippers,96
18064,Wed Oct 30 2019,Golden State Warriors,110,10:30p,Phoenix Suns,121
16539,Thu Oct 31 2019,Atlanta Hawks,97,7:00p,Miami Heat,106
16613,Thu Oct 31 2019,New Orleans Pelicans,122,9:30p,Denver Nuggets,107
19068,Thu Oct 31 2019,Los Angeles Clippers,103,10:30p,San Antonio Spurs,97
