3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
.242,35.5,0.6,-0.7,-1.4,9.0,2.5,.210,Dennis Schroder,0.7,1.9,1.2,16.1,1.5,16.3,5.5,.533,27.8,0.8,3.7,.071
.248,17.9,2.3,2.7,2.1,19.5,3.8,.417,Paul Millsap,0.5,5.3,2.6,17.8,1.9,12.1,12.5,.542,24.4,2.7,6.4,.132
.003,7.8,3.6,2.3,2.8,31.7,4.5,.692,Dwight Howard,-0.5,15.0,3.8,20.8,1.4,17.5,23.5,.627,19.2,2.4,8.3,.181
.457,14.3,0.6,-0.3,-1.5,9.5,2.1,.235,Tim Hardaway,1.3,1.8,2.7,15.2,1.3,9.5,5.7,.568,22.5,0.9,4.8,.107
.369,14.2,2.3,-0.8,1.2,10.3,2.8,.233,Kent Bazemore,-2.0,2.6,-0.6,11.5,2.3,13.6,6.5,.504,20.5,0.6,2.1,.052
.304,9.9,1.7,1.2,3.1,14.7,2.7,.190,Thabo Sefolosha,-1.9,3.8,0.6,11.9,3.0,11.9,9.3,.519,13.3,1.3,3.3,.098
.284,23.1,0.1,-5.9,-1.3,9.8,1.3,.240,Malcolm Delaney,-4.6,0.9,-1.2,7.5,1.5,18.1,5.4,.456,18.3,-1.2,0.1,.005
.326,11.9,2.8,1.1,1.5,14.4,1.6,.190,Mike Muscala,-0.4,6.9,1.8,14.4,1.2,13.1,10.7,.596,14.8,1.0,3.4,.132
.358,8.4,2.4,-2.3,1.5,14.6,1.5,.330,Taurean Waller-Prince,-3.8,2.8,-0.4,9.8,2.2,15.7,8.8,.513,17.2,-0.1,1.1,.054
.646,12.6,1.2,-0.4,0.1,10.8,1.0,.110,Kyle Korver,-0.5,0.0,0.7,10.8,1.3,13.4,5.5,.591,14.5,0.4,1.6,.088
.252,6.4,2.6,-2.7,0.3,23.0,1.1,.383,Kris Humphries,-3.0,9.7,0.6,13.6,1.1,10.1,16.4,.514,17.6,-0.1,1.6,.115
.407,10.6,1.1,-0.2,0.5,18.7,0.9,.288,Ersan Ilyasova,-0.6,7.4,0.5,13.5,1.7,11.8,13.1,.530,19.9,0.3,1.4,.106
.592,9.5,0.9,-1.0,-0.8,12.5,0.5,.200,Mike Dunleavy,-0.2,3.1,0.7,11.9,0.9,9.0,7.9,.597,14.3,0.1,1.2,.120
.184,11.5,1.2,-4.3,0.1,13.1,0.4,.163,DeAndre' Bembry,-4.4,4.2,-0.1,8.8,1.1,13.2,8.7,.481,14.2,-0.2,0.3,.038
.526,21.6,0.0,-4.2,-1.4,11.0,0.2,.140,Jose Calderon,-2.8,3.2,0.1,8.7,0.8,19.9,7.1,.504,13.3,-0.1,0.3,.051
.458,12.5,1.3,-5.3,-0.1,15.0,0.2,.136,Mike Scott,-5.3,5.7,-0.3,5.9,1.0,11.3,10.4,.360,15.8,-0.2,-0.1,-0.014
