3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
.469,12.5,1.5,-1.4,-0.1,16.0,1.5,.181,Taurean Waller-Prince,-1.2,2.3,-0.3,12.0,1.6,15.6,9.1,.543,20.9,0.3,1.3,.030
.229,35.7,0.3,-1.1,-2.3,8.9,0.9,.228,Dennis Schroder,1.2,2.4,1.5,17.1,1.7,12.7,5.6,.512,30.3,0.5,2.3,.057
.405,20.1,2.2,0.4,0.9,14.2,1.9,.297,Kent Bazemore,-0.6,1.6,0.3,14.5,2.7,17.0,7.9,.547,22.5,1.1,2.2,.058
.059,7.7,4.1,1.5,1.4,22.1,1.6,.345,John Collins,0.1,12.4,3.1,19.0,1.3,14.0,17.2,.625,18.4,1.3,4.7,.153
.510,13.5,0.2,-1.8,-2.5,8.1,0.5,.225,Marco Belinelli,0.7,1.2,1.3,14.2,1.9,9.2,4.6,.555,21.2,0.1,1.9,.074
.286,9.2,2.7,0.6,1.2,27.2,1.3,.181,Dewayne Dedmon,-0.6,7.7,1.6,16.1,1.3,15.4,17.4,.619,16.8,0.8,2.9,.117
.424,6.8,1.3,0.0,-0.5,17.1,1.0,.224,Ersan Ilyasova,0.5,7.1,1.6,15.1,1.8,8.9,12.1,.569,18.0,0.6,2.6,.105
.435,23.4,0.5,-3.6,-1.7,10.2,0.5,.323,Malcolm Delaney,-1.9,1.0,0.5,10.7,1.7,16.9,5.6,.519,16.9,-0.4,1.0,.046
.196,25.8,1.1,-5.1,-2.3,7.5,0.3,.408,Isaiah Taylor,-2.8,2.2,0.3,11.1,1.4,15.7,4.8,.502,18.7,-0.7,0.6,.038
.000,7.3,3.2,-2.4,1.4,18.2,0.6,.310,Miles Plumlee,-3.8,9.1,0.1,10.8,1.0,23.5,13.6,.573,13.2,-0.1,0.7,.042
.473,7.2,2.5,0.5,0.4,18.6,0.7,.220,Mike Muscala,0.1,6.8,1.2,15.1,1.7,11.1,12.6,.607,15.4,0.5,1.8,.122
.548,12.8,0.5,-5.0,-2.5,13.9,0.2,.174,Tyler Dorsey,-2.5,1.9,-0.2,8.8,0.8,7.8,7.9,.464,19.0,-0.5,0.1,.005
.661,7.0,0.8,-2.1,-2.3,15.2,0.2,.131,Luke Babbitt,0.2,1.0,0.9,12.0,0.6,7.8,8.0,.636,14.8,0.0,1.1,.093
.597,8.9,0.8,0.5,-1.3,18.5,0.3,.169,Tyler Cavanaugh,1.8,9.7,1.0,14.8,1.0,7.6,14.1,.612,14.3,0.3,1.3,.142
.238,12.4,2.4,-6.0,0.8,15.0,0.3,.248,DeAndre' Bembry,-6.8,2.5,-0.8,5.7,1.7,25.3,8.7,.460,18.0,-0.4,-0.5,-0.070
.455,44.8,0.0,-5.0,-4.9,8.0,0.0,.364,Josh Magette,-0.1,2.0,0.4,16.7,1.7,13.6,5.0,.549,11.3,-0.1,0.4,.175
.676,1.5,0.0,-5.5,-4.1,10.2,0.0,.059,Andrew White,-1.4,3.4,0.0,9.1,1.0,5.4,6.8,.545,16.1,-0.1,0.1,.034
.290,10.8,0.9,-6.9,-1.1,16.3,0.1,.000,Jaylen Morris,-5.8,2.3,-0.1,7.0,1.0,16.2,9.2,.452,16.5,-0.1,-0.1,-0.044
.563,11.6,0.0,2.2,-2.5,15.5,0.0,.375,Damion Lee,4.7,0.0,0.2,23.3,2.2,5.1,7.7,.724,19.5,0.0,0.2,.220
