2P,2PA,2PCT,3P,3PA,3PCT,AST,Age,BLK,DRB,FG,FGA,FGPCT,FT,FTA,FTPCT,GP,GS,MPG,Name,ORB,PF,PTS,STL,TOV,TRB,eFG
5.1,10.6,.486,1.1,3.5,.311,3.7,31,0.9,6.1,6.2,14.1,.442,4.5,5.9,.768,69,67,34.0,Paul Millsap,1.6,2.7,18.1,1.3,2.3,7.7,.481
5.7,11.6,.487,1.3,3.7,.340,6.3,23,0.2,2.6,6.9,15.4,.451,2.8,3.2,.855,79,78,31.5,Dennis Schroder,0.5,1.9,17.9,0.9,3.3,3.1,.493
5.2,8.3,.635,0.0,0.0,.000,1.4,31,1.2,8.7,5.2,8.3,.633,3.1,5.7,.533,74,74,29.7,Dwight Howard,4.0,2.7,13.5,0.9,2.3,12.7,.633
1.3,2.7,.494,2.0,5.0,.409,2.3,35,0.4,2.8,3.4,7.7,.439,0.8,0.8,.889,32,21,27.9,Kyle Korver,0.0,1.5,9.5,0.7,1.3,2.8,.571
3.4,6.3,.537,1.9,5.3,.357,2.3,24,0.2,2.4,5.3,11.5,.455,2.1,2.7,.766,79,30,27.3,Tim Hardaway,0.4,1.3,14.5,0.7,1.3,2.8,.537
2.8,6.2,.446,1.3,3.6,.346,2.4,27,0.7,2.5,4.0,9.9,.409,1.6,2.3,.708,73,64,26.9,Kent Bazemore,0.6,2.3,11.0,1.2,1.7,3.2,.473
2.1,4.4,.484,0.7,1.9,.342,1.7,32,0.5,3.5,2.8,6.4,.441,0.9,1.2,.733,62,42,25.7,Thabo Sefolosha,0.9,1.6,7.2,1.5,0.9,4.4,.492
2.3,5.2,.455,1.2,3.5,.348,1.7,29,0.3,4.2,3.6,8.7,.412,2.0,2.5,.800,26,12,24.3,Ersan Ilyasova,1.6,2.8,10.4,0.8,1.3,5.8,.482
1.8,3.2,.546,0.7,1.6,.418,1.4,25,0.6,2.3,2.4,4.8,.504,0.7,0.9,.766,70,3,17.7,Mike Muscala,1.1,1.4,6.2,0.4,0.8,3.4,.573
1.6,3.8,.428,0.4,1.5,.236,2.6,27,0.0,1.5,2.0,5.3,.374,1.0,1.3,.806,73,2,17.1,Malcolm Delaney,0.1,1.5,5.4,0.5,1.3,1.7,.407
1.4,3.1,.443,0.6,1.7,.324,0.9,22,0.5,2.2,1.9,4.8,.400,1.3,1.6,.787,59,10,16.6,Taurean Waller-Prince,0.4,1.6,5.7,0.7,1.0,2.7,.458
0.8,1.8,.453,1.1,2.6,.429,1.0,36,0.2,1.8,1.9,4.3,.438,0.7,0.9,.846,30,0,15.8,Mike Dunleavy,0.4,1.2,5.6,0.3,0.5,2.3,.565
0.9,1.6,.556,0.5,1.8,.267,2.2,35,0.0,1.5,1.4,3.4,.404,0.4,0.5,.875,17,2,14.5,Jose Calderon,0.4,0.8,3.6,0.2,0.9,1.9,.474
1.2,2.9,.425,0.3,1.0,.352,0.5,31,0.4,2.6,1.6,3.8,.407,1.1,1.5,.780,56,4,12.3,Kris Humphries,1.1,1.2,4.6,0.3,0.5,3.7,.451
0.7,1.8,.406,0.2,1.5,.148,0.9,28,0.2,1.5,0.9,3.3,.288,0.4,0.4,.875,18,0,10.8,Mike Scott,0.6,0.7,2.5,0.2,0.4,2.1,.322
1.2,2.1,.575,0.0,0.5,.056,0.7,22,0.1,1.2,1.2,2.6,.480,0.2,0.4,.375,38,1,9.8,DeAndre' Bembry,0.4,0.6,2.7,0.2,0.4,1.6,.485
0.0,2.5,.000,0.0,1.0,.000,0.5,32,0.0,0.5,0.0,3.5,.000,2.0,2.0,1.000,2,0,9.0,Gary Neal,0.0,0.5,2.0,0.0,0.0,0.5,.000
0.4,1.8,.222,0.2,1.2,.167,1.2,25,0.0,1.2,0.6,3.0,.200,0.4,0.6,.667,5,0,8.0,Lamar Patterson,0.2,1.2,1.8,0.2,0.8,1.4,.233
0.3,1.1,.222,0.3,0.6,.400,0.5,25,0.3,1.1,0.5,1.8,.286,0.3,0.4,.833,16,0,6.9,Ryan Kelly,0.1,0.3,1.6,0.3,0.3,1.1,.357
