2P,2PA,2PCT,3P,3PA,3PCT,AST,Age,BLK,DRB,FG,FGA,FGPCT,FT,FTA,FTPCT,GP,GS,MPG,Name,ORB,PF,PTS,STL,TOV,TRB,eFG
6.2,13.1,.474,1.1,3.9,.289,6.2,24,0.1,2.4,7.3,17.0,.432,3.3,3.9,.863,64,64,30.9,Dennis Schroder,0.7,2.1,19.2,1.1,2.7,3.1,.465
2.7,6.0,.445,2.1,5.3,.391,2.4,23,0.5,4.2,4.7,11.2,.420,1.7,2.0,.829,69,69,30.0,Taurean Waller-Prince,0.6,2.0,13.2,1.0,2.2,4.8,.512
2.7,6.2,.438,1.7,4.2,.394,3.5,28,0.7,3.4,4.4,10.4,.420,2.5,3.1,.796,65,65,27.5,Kent Bazemore,0.4,2.3,12.9,1.5,2.4,3.8,.500
2.7,5.0,.532,1.3,3.7,.359,1.1,30,0.4,3.8,4.0,8.7,.459,1.6,2.0,.800,46,40,25.5,Ersan Ilyasova,1.6,2.0,10.9,1.0,0.9,5.5,.535
3.2,5.1,.615,0.8,2.1,.369,1.4,28,0.8,5.7,3.9,7.2,.544,1.0,1.3,.785,50,34,23.9,Dewayne Dedmon,1.6,2.6,9.6,0.6,1.4,7.4,.597
2.1,4.6,.451,1.8,4.8,.372,2.0,31,0.1,1.7,3.8,9.3,.411,1.9,2.1,.927,52,1,23.3,Marco Belinelli,0.3,0.8,11.4,0.9,1.0,1.9,.506
4.1,6.8,.596,0.1,0.4,.333,1.1,20,1.1,4.5,4.2,7.3,.581,1.9,2.5,.747,63,15,23.2,John Collins,2.5,3.0,10.5,0.6,1.4,7.0,.591
2.0,3.5,.571,2.5,4.5,.556,1.5,25,0.0,3.0,4.5,8.0,.563,2.0,3.0,.667,2,0,22.0,Damion Lee,0.0,0.5,13.5,1.0,0.5,3.0,.719
1.2,3.0,.391,0.9,2.3,.371,3.0,28,0.1,1.7,2.0,5.3,.382,1.4,1.7,.804,54,3,18.8,Malcolm Delaney,0.2,1.5,6.3,0.6,1.2,1.9,.463
1.5,2.7,.537,1.0,2.4,.402,0.9,26,0.5,2.9,2.4,5.1,.473,1.0,1.1,.889,40,5,17.9,Mike Muscala,1.1,1.7,6.8,0.6,0.7,4.0,.568
1.5,3.7,.416,0.4,1.1,.333,1.5,23,0.5,2.3,1.9,4.8,.396,0.7,1.2,.600,21,0,17.3,DeAndre' Bembry,0.4,1.5,4.9,0.6,1.8,2.7,.436
2.0,3.4,.581,0.0,0.0,,0.8,29,0.6,2.7,2.0,3.4,.581,0.5,1.0,.458,46,34,16.6,Miles Plumlee,1.3,1.5,4.4,0.3,1.2,4.0,.581
1.8,3.7,.500,0.3,1.5,.222,1.2,22,0.2,2.3,2.2,5.2,.419,0.0,0.0,,6,0,16.3,Jaylen Morris,0.3,0.3,4.7,0.3,1.0,2.7,.452
0.8,1.5,.544,1.3,3.0,.441,0.7,28,0.1,2.1,2.2,4.5,.476,0.5,0.6,.773,37,9,15.4,Luke Babbitt,0.1,1.3,6.1,0.2,0.4,2.2,.622
1.7,3.7,.468,0.2,0.9,.265,2.6,23,0.2,1.0,2.0,4.6,.428,1.3,1.9,.676,54,1,15.2,Isaiah Taylor,0.3,1.6,5.5,0.4,1.0,1.3,.454
1.0,2.5,.376,1.0,3.1,.326,1.3,21,0.1,1.8,2.0,5.6,.349,0.7,1.0,.714,43,4,15.0,Tyler Dorsey,0.3,0.9,5.6,0.3,0.5,2.1,.438
0.7,1.6,.455,1.3,3.3,.391,0.1,24,0.0,1.3,2.0,4.9,.412,0.1,0.3,.500,7,0,14.3,Andrew White,0.4,1.1,5.4,0.3,0.3,1.7,.544
1.0,1.6,.620,0.9,2.3,.378,0.8,23,0.1,2.3,1.8,3.9,.476,0.5,0.7,.810,32,1,13.8,Tyler Cavanaugh,1.2,1.8,5.1,0.3,0.3,3.4,.589
0.3,0.9,.333,0.3,0.8,.400,2.8,28,0.0,0.6,0.6,1.7,.364,0.6,0.6,1.000,13,0,8.8,Josh Magette,0.2,0.5,2.2,0.3,0.3,0.8,.455
0.0,0.0,,0.0,0.5,.000,0.0,24,0.0,0.8,0.0,0.5,.000,0.0,0.0,,4,0,2.5,Nicolas Brussino,0.0,0.0,0.0,0.0,0.0,0.8,.000
2.5,5.6,.455,1.9,5.3,.364,2.0,31,0.4,5.0,4.5,10.9,.410,2.6,3.3,.783,63,63,29.8,DeMarre Carroll,1.6,2.2,13.5,0.8,1.4,6.6,.499
1.8,4.0,.448,2.5,7.0,.362,1.5,25,0.4,4.0,4.3,11.0,.393,1.4,1.6,.848,64,57,29.5,Allen Crabbe,0.4,2.3,12.6,0.6,1.1,4.4,.508
2.4,5.4,.445,1.8,5.5,.323,6.9,24,0.3,2.8,4.2,10.9,.384,2.8,3.3,.835,67,57,29.2,Spencer Dinwiddie,0.5,2.4,13.0,0.9,1.6,3.3,.465
4.9,9.9,.492,0.2,0.9,.255,2.3,23,0.7,5.1,5.1,10.8,.473,3.6,4.6,.794,54,45,27.8,Rondae Hollis-Jefferson,1.5,2.1,14.1,0.8,1.8,6.6,.483
3.2,6.8,.478,1.2,3.4,.342,4.1,23,0.3,2.9,4.4,10.2,.432,1.9,2.7,.713,58,9,26.0,Caris LeVert,0.8,2.1,11.9,1.2,2.3,3.7,.490
4.2,8.8,.482,1.7,5.3,.326,4.8,21,0.3,3.1,6.0,14.1,.423,2.5,3.3,.757,34,21,25.6,D'Angelo Russell,0.7,2.1,16.1,0.7,3.1,3.8,.484
1.9,3.3,.571,1.8,4.6,.404,1.5,26,0.2,2.7,3.7,7.9,.474,1.0,1.3,.807,66,9,25.1,Joe Harris,0.7,2.0,10.3,0.5,1.1,3.3,.591
4.0,10.0,.400,1.0,2.0,.500,4.0,29,0.0,0.0,5.0,12.0,.417,7.0,7.0,1.000,1,1,25.0,Jeremy Lin,0.0,3.0,18.0,0.0,3.0,0.0,.458
