College,Experience,Height,Name,Position,Weight,team
,R,6-11,Pero Antić,C,260,Atlanta Hawks
,2,6-10,Gustavo Ayón,C,250,Atlanta Hawks
Duke,14,6-8,Elton Brand,C,275,Atlanta Hawks
Vanderbilt Missouri,4,6-6,DeMarre Carroll,SF,215,Atlanta Hawks
Oregon State,1,6-4,Jared Cunningham,SG,195,Atlanta Hawks
Florida,6,6-9,Al Horford,C,245,Atlanta Hawks
Vanderbilt,1,6-4,John Jenkins,SG,215,Atlanta Hawks
Creighton,10,6-7,Kyle Korver,SG,212,Atlanta Hawks
Butler,2,6-3,Shelvin Mack,PG,203,Atlanta Hawks
Kansas State,5,6-7,Cartier Martin,SF,220,Atlanta Hawks
Louisiana Tech,7,6-7,Paul Millsap,PF,250,Atlanta Hawks
Bucknell,R,6-10,Mike Muscala,PF,240,Atlanta Hawks
UC Santa Barbara,R,6-7,James Nunnally,SF,208,Atlanta Hawks
Texas,3,6-11,Dexter Pittman,C,308,Atlanta Hawks
,R,6-1,Dennis Schröder,PG,172,Atlanta Hawks
Virginia,1,6-7,Mike Scott,PF,237,Atlanta Hawks
Wake Forest,4,6-3,Jeff Teague,PG,195,Atlanta Hawks
,8,6-1,Lou Williams,PG,175,Atlanta Hawks
Michigan State,4,6-6,Alan Anderson,SF,220,Brooklyn Nets
,8,6-11,Andray Blatche,PF,235,Brooklyn Nets
Stanford,12,7-0,Jason Collins,C,255,Brooklyn Nets
Iowa,11,6-8,Reggie Evans,PF,245,Brooklyn Nets
,18,6-11,Kevin Garnett,C,240,Brooklyn Nets
California,R,6-3,Jorge Gutiérrez,PG,191,Brooklyn Nets
Arkansas,12,6-7,Joe Johnson,SG,240,Brooklyn Nets
,11,6-9,Andrei Kirilenko,PF,220,Brooklyn Nets
,8,6-7,Shaun Livingston,PG,192,Brooklyn Nets
Stanford,5,7-0,Brook Lopez,C,270,Brooklyn Nets
Kansas,15,6-7,Paul Pierce,SF,235,Brooklyn Nets
Duke,R,6-11,Mason Plumlee,C,238,Brooklyn Nets
,1,6-9,Tornike Shengelia,SF,217,Brooklyn Nets
Kansas,1,6-3,Tyshawn Taylor,PG,185,Brooklyn Nets
Kentucky,1,6-2,Marquis Teague,SG,189,Brooklyn Nets
,1,6-9,Mirza Teletović,SF,242,Brooklyn Nets
Arizona,14,6-2,Jason Terry,PG,185,Brooklyn Nets
LSU,4,6-4,Marcus Thornton,SG,205,Brooklyn Nets
Illinois,8,6-3,Deron Williams,PG,200,Brooklyn Nets
UNLV,6,6-9,Joel Anthony,C,245,Boston Celtics
Penn State Iowa State,R,6-5,Chris Babb,SG,225,Boston Celtics
LSU,8,6-8,Brandon Bass,PF,250,Boston Celtics
Arizona,5,6-3,Jerryd Bayless,PG,200,Boston Celtics
Marquette,R,6-4,Vander Blue,SG,200,Boston Celtics
Kentucky,10,6-5,Keith Bogans,SG,215,Boston Celtics
Texas,3,6-3,Avery Bradley,SG,180,Boston Celtics
Providence,2,6-5,MarShon Brooks,SG,200,Boston Celtics
Indiana Xavier,3,6-4,Jordan Crawford,PG,195,Boston Celtics
,R,6-11,Vítor Faverani,C,260,Boston Celtics
Georgetown,5,6-8,Jeff Green,SF,235,Boston Celtics
