College,Experience,Height,Name,Position,Weight,team
,4,6-1,Dennis Schroder,PG,172,Atlanta Hawks
,10,6-5,Marco Belinelli,SG,210,Atlanta Hawks
Old Dominion University,5,6-5,Kent Bazemore,SG,201,Atlanta Hawks
Virginia Polytechnic Institute and State University,1,6-3,Malcolm Delaney,PG,190,Atlanta Hawks
Baylor University,1,6-8,Taurean Prince,SF,220,Atlanta Hawks
Saint Joseph's University,1,6-6,DeAndre' Bembry,SF,210,Atlanta Hawks
,1,6-7,Nicolas Brussino,SF,195,Atlanta Hawks
Duke University,5,6-11,Miles Plumlee,C,249,Atlanta Hawks
Wake Forest University,R,6-10,John Collins,PF,235,Atlanta Hawks
University of Oregon,R,6-5,Tyler Dorsey,SG,183,Atlanta Hawks
University of Southern California,4,7-0,Dewayne Dedmon,C,245,Atlanta Hawks
,9,6-10,Ersan Ilyasova,PF,235,Atlanta Hawks
Bucknell University,4,6-11,Mike Muscala,C,240,Atlanta Hawks
University of Nevada Reno,7,6-9,Luke Babbitt,SF,225,Atlanta Hawks
University of Texas at Austin,1,6-3,Isaiah Taylor,PG,170,Atlanta Hawks
George Washington University,R,6-9,Tyler Cavanaugh,PF,239,Atlanta Hawks
Ohio State University,2,6-5,D'Angelo Russell,PG,195,Brooklyn Nets
University of Arizona,2,6-7,Rondae Hollis-Jefferson,SF,220,Brooklyn Nets
University of Missouri,8,6-8,DeMarre Carroll,SF,215,Brooklyn Nets
University of Cincinnati,3,6-4,Sean Kilpatrick,SG,210,Brooklyn Nets
Harvard University,7,6-3,Jeremy Lin,PG,200,Brooklyn Nets
,7,7-1,Timofey Mozgov,C,275,Brooklyn Nets
Clemson University,7,6-8,Trevor Booker,PF,228,Brooklyn Nets
University of California,4,6-6,Allen Crabbe,SG,210,Brooklyn Nets
Seton Hall University,1,6-4,Isaiah Whitehead,PG,213,Brooklyn Nets
University of Michigan,1,6-7,Caris LeVert,SF,203,Brooklyn Nets
University of Virginia,3,6-6,Joe Harris,SG,219,Brooklyn Nets
University of Colorado,3,6-6,Spencer Dinwiddie,PG,200,Brooklyn Nets
Baylor University,5,6-7,Quincy Acy,PF,240,Brooklyn Nets
University of Texas at Austin,R,6-10,Jarrett Allen,C,234,Brooklyn Nets
University of North Carolina,5,7-0,Tyler Zeller,C,253,Brooklyn Nets
Eastern Washington University,R,6-7,Jacob Wiley  (TW),PF,215,Brooklyn Nets
,R,6-4,Yakuba Ouattara  (TW),G,220,Brooklyn Nets
Duke University,6,6-3,Kyrie Irving,PG,193,Boston Celtics
University of Kansas,6,6-9,Marcus Morris,SF,235,Boston Celtics
Oklahoma State University,3,6-4,Marcus Smart,SG,220,Boston Celtics
University of Louisville,2,6-2,Terry Rozier,PG,190,Boston Celtics
University of Florida,10,6-10,Al Horford,C,245,Boston Celtics
University of California,1,6-7,Jaylen Brown,SF,225,Boston Celtics
Duke University,R,6-8,Jayson Tatum,SF,205,Boston Celtics
Butler University,7,6-8,Gordon Hayward,SF,226,Boston Celtics
Iowa State University,R,6-6,Abdel Nader,SF,230,Boston Celtics
Southern Methodist University,R,6-7,Semi Ojeleye,PF,241,Boston Celtics
Washington State University,5,6-10,Aron Baynes,C,260,Boston Celtics
,R,6-7,Guerschon Yabusele,PF,260,Boston Celtics
,R,6-9,Daniel Theis,C,215,Boston Celtics
University of Miami,3,5-11,Shane Larkin,PG,175,Boston Celtics
University of California,R,6-6,Jabari Bird  (TW),SG,197,Boston Celtics
University of Arizona,R,6-3,Kadeem Allen  (TW),G,192,Boston Celtics
University of Kentucky,5,6-7,Michael Kidd-Gilchrist,SF,232,Charlotte Hornets
University of Connecticut,6,6-1,Kemba Walker,PG,172,Charlotte Hornets
Indiana University,4,7-0,Cody Zeller,C,240,Charlotte Hornets
University of Connecticut,5,6-5,Jeremy Lamb,SG,185,Charlotte Hornets
University of Wisconsin,2,7-0,Frank Kaminsky,PF,242,Charlotte Hornets
,9,6-8,Nicolas Batum,SG,200,Charlotte Hornets
University of North Carolina,12,6-9,Marvin Williams,PF,237,Charlotte Hornets
,13,6-11,Dwight Howard,C,265,Charlotte Hornets
Virginia Commonwealth University,1,6-6,Treveon Graham,SG,220,Charlotte Hornets
Louisiana State University,3,6-9,Johnny O'Bryant,PF,257,Charlotte Hornets
University of Kentucky,R,6-3,Malik Monk,SG,200,Charlotte Hornets
Syracuse University,4,6-6,Michael Carter-Williams,PG,190,Charlotte Hornets
Florida State University,R,6-6,Dwayne Bacon,SG,222,Charlotte Hornets
University of Texas at El Paso,3,6-6,Julyan Stone,SG,200,Charlotte Hornets
University of North Carolina,R,6-1,Marcus Paige  (TW),PG,175,Charlotte Hornets
University of Louisville,R,6-10,Mangok Mathiang  (TW),C,230,Charlotte Hornets
