age,guaranteed,name,signedUsing,team,y1,y2,y2option,y3,y3option,y4,y4option,y5,y5option,y6,y6option
31,$19000000,Jeff Teague,Cap space,Atlanta Hawks,$19000000,,None,,None,,None,,None,,None
26,$72086957,Clint Capela,Bird Rights,Atlanta Hawks,$16456522,$17500000,None,$18543478,None,$19586957,None,,None,,None
30,$40000000,Dewayne Dedmon,Cap space,Atlanta Hawks,$13333334,$13333333,None,$13333333,None,,None,,None,,None
22,$14490360,De'Andre Hunter,1st Round Pick,Atlanta Hawks,$7068360,$7422000,None,$7775400,Team,$9835881,Team,,None,,None
21,$12844800,Trae Young,1st Round Pick,Atlanta Hawks,$6273000,$6571800,None,$8326471,Team,,None,,None,,None
20,$8703720,Cam Reddish,1st Round Pick,Atlanta Hawks,$4245720,$4458000,None,$4670160,Team,$5954454,Team,,None,,None
22,$6823862,John Collins,1st Round Pick,Atlanta Hawks,$2686560,$4137302,None,,None,,None,,None,,None
21,$5398200,Kevin Huerter,1st Round Pick,Atlanta Hawks,$2636280,$2761920,None,$4253357,Team,,None,,None,,None
25,$2603982,DeAndre' Bembry,1st Round pick,Atlanta Hawks,$2603982,,None,,None,,None,,None,,None
43,$2564753,Vince Carter,Minimum Salary,Atlanta Hawks,$2564753,,None,,None,,None,,None,,None
24,$2338847,Skal Labissi�re,1st Round pick,Atlanta Hawks,$2338847,,None,,None,,None,,None,,None
24,$2305057,Damian Jones,1st Round pick,Atlanta Hawks,$2305057,,None,,None,,None,,None,,None
26,$1678854,Treveon Graham,Minimum Salary,Atlanta Hawks,$1678854,,None,,None,,None,,None,,None
21,$4700602,Bruno Fernando,Cap space,Atlanta Hawks,$1400000,$1517981,None,$1782621,None,,None,,None,,None
24,$522738,Brandon Goodwin,Minimum Salary,Atlanta Hawks,$522738,$1701593,None,,None,,None,,None,,None
23, ,Charlie Brown,Two-Way Contract,Atlanta Hawks, ,,None,,None,,None,,None,,None
31,$25102511,Chandler Parsons,,Atlanta Hawks,$25102511,,None,,None,,None,,None,,None
37,$2564753,Nen� Hil�rio,,Atlanta Hawks,$2564753,,None,,None,,None,,None,,None
25,$1445697,Derrick Walton,,Atlanta Hawks,$1445697,,None,,None,,None,,None,,None
