age,guaranteed,name,signedUsing,team,y1,y2,y2option,y3,y3option,y4,y4option,y5,y5option,y6,y6option
28,$35000000,Kent Bazemore,Cap Space,Atlanta Hawks,$16910113,$18089887,None,$19269662,Player,,None,,None,,None
24,$62000000,Dennis Schroder,1st Round Pick,Atlanta Hawks,$15500000,$15500000,None,$15500000,None,$15500000,None,,None,,None
29,$37500000,Miles Plumlee,Bird Rights,Atlanta Hawks,$12500000,$12500000,None,$12500000,None,,None,,None,,None
28,$6000000,Dewayne Dedmon,Cap space,Atlanta Hawks,$6000000,$6300000,Player,,None,,None,,None,,None
26,$5000000,Mike Muscala,Cap space,Atlanta Hawks,$5000000,$5000000,Player,,None,,None,,None,,None
29,$2500000,Malcolm Delaney,Room Exception,Atlanta Hawks,$2500000,,None,,None,,None,,None,,None
23,$4949400,Taurean Waller-Prince,1st Round pick,Atlanta Hawks,$2422560,$2526840,None,$3481986,Team,,None,,None,,None
20,$4236000,John Collins,1st Round Pick,Atlanta Hawks,$1936920,$2299080,None,$2686560,Team,$4137302,Team,,None,,None
23,$3201840,DeAndre' Bembry,1st Round pick,Atlanta Hawks,$1567200,$1634640,None,$2603982,Team,,None,,None,,None
23,$1312611,Isaiah Taylor,Minimum Salary,Atlanta Hawks,$1312611,$1544951,None,,None,,None,,None,,None
22,$2193857,Tyler Dorsey,Minimum Salary,Atlanta Hawks,$815615,$1378242,None,,None,,None,,None,,None
24,$679919,Tyler Cavanaugh,Two-Way Converted,Atlanta Hawks,$679919,$1378242,None,,None,,None,,None,,None
22,,Jaylen Morris,10-Day Contract,Atlanta Hawks,$92160,,None,,None,,None,,None,,None
24,,Antonius Cleveland,10-Day Contract,Atlanta Hawks,$92160,,None,,None,,None,,None,,None
24,TBD,Andrew White,Two-Way Contract,Atlanta Hawks,TBD,,None,,None,,None,,None,,None
28,$50000,Josh Magette,Two-Way Contract,Atlanta Hawks,TBD,,None,,None,,None,,None,,None
37,$13246988,Jamal Crawford,,Atlanta Hawks,$10942762,$2304226,None,,None,,None,,None,,None
31,$6306060,Marco Belinelli,,Atlanta Hawks,$6306060,,None,,None,,None,,None,,None
30,$6000000,Ersan Ilyasova,,Atlanta Hawks,$6000000,,None,,None,,None,,None,,None
37,$2500000,Richard Jefferson,,Atlanta Hawks,$2500000,,None,,None,,None,,None,,None
37,$1662500,Mike Dunleavy,,Atlanta Hawks,$1662500,,None,,None,,None,,None,,None
25,$1312611,Sheldon Mac,,Atlanta Hawks,$1312611,,None,,None,,None,,None,,None
21,$1312611,Diamond Stone,,Atlanta Hawks,$1312611,,None,,None,,None,,None,,None
25,$1312611,Nicolas Brussino,,Atlanta Hawks,$1312611,,None,,None,,None,,None,,None
25,$1312611,Okaro White,,Atlanta Hawks,$1312611,,None,,None,,None,,None,,None
24,$100000,Quinn Cook,,Atlanta Hawks,$100000,,None,,None,,None,,None,,None
24,$50000,Tyler Cavanaugh,,Atlanta Hawks,$50000,,None,,None,,None,,None,,None
30,$50000,Jeremy Evans,,Atlanta Hawks,$50000,,None,,None,,None,,None,,None
29,$26773,DeAndre Liggins,,Atlanta Hawks,$26773,,None,,None,,None,,None,,None
