HW,HOME,VISITOR,FG,FGA,FG_PCT,Three_Pointers,Three_Pointers_Att,Three_Pointers_Pct,Two_Pointers,Two_Pointers_Att,Two_Pointers_Pct,FTM,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,PACE,FTr,Three_PAr,OFF_eFG_PCT,OFF_TOV_PCT,ORB_PCT,OFF_FT_FGA,DEF_eFG_PCT,DEF_TOV_PCT,DRB_PCT,DEF_FT_FGA,oFG,oFGA,oFGPCT,o3P,o3PA,o3PCT,o2P,o2PA,o2PCT,oFTM,oFTA,oFTPCT,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oPTS,createdAt,updatedAt
1,Cleveland Cavaliers,New York Knicks,0.300,-3.600,0.023,4.400,9.200,0.036,-4.100,-12.800,0.043,0.900,2.200,-0.040,-2.700,1.200,-1.500,0.900,-0.500,-1.500,-0.200,-2.200,6,20,-20,18,-18,6.850,-0.110,6.740,5.900,-1.200,0.200,0.036,0.120,0.051,0.200,-4.700,0.018,0.005,-0.300,1.700,-0.040,0.900,1.400,0.003,0.600,0.500,0.013,0.400,1,-0.002,-3.200,-4.200,0.002,-0.600,0.100,-0.500,2.900,-0.200,-0.300,-0.300,2.100,-0.800,0,0
0,Golden State Warriors,San Antonio Spurs,3.800,3.400,0.026,2.800,7.700,-0.008,1,-4.400,0.057,0.200,0.600,-0.009,-0.600,1.100,0.500,6.600,1.600,0.900,1.400,1,10.600,6,-6,7,-7,4.430,-0.220,4.220,4.500,0.500,5.600,-0.004,0.078,0.039,0.600,-1.200,-0.006,-0.006,0,-2.700,0.006,1.800,5.800,-0.008,0.900,4.100,-0.020,1,1.700,0.002,1.700,2.400,-0.010,1.900,0.100,2,1.300,1.100,-0.300,1.100,-0.400,6.200,0,0
1,Portland Trail Blazers,Utah Jazz,2.500,6.600,-0.007,0.800,1.700,0.003,1.900,4.900,-0.012,1.400,0.800,0.033,0.700,-0.300,0.500,1,0.300,0,0.100,2.400,7.200,-10,10,-12,12,-4.460,0.240,-4.230,0.700,5.500,5.100,-0.013,-0.005,-0.006,-0.700,-0.200,-0.001,0.015,-0.200,-2.100,0.046,2.900,4.200,0.012,1.100,2.200,0.012,1.800,2,0.013,4.800,5.800,0.016,1.100,2.800,3.800,2.800,0.400,1.500,0.700,-0.400,11.700,0,0
1,Boston Celtics,Brooklyn Nets,0.800,-0.100,0.010,1.300,1.800,0.021,-0.500,-1.900,0.009,-0.700,-1.400,0.019,0.300,-2.200,-1.900,3.800,0.300,-0.600,-3.200,-0.400,2.200,33,-33,24,-24,9.360,-0.380,8.990,7.100,-2.300,-4.500,-0.016,0.022,0.018,-2.500,1.600,-0.008,-0.010,1,-0.800,0.011,-3,-5,-0.008,-1,-0.200,-0.034,-2,-4.800,0.007,-0.200,-0.100,-0.003,-0.200,-2.400,-2.700,-0.400,-1.900,-0.400,0.600,-0.100,-7.100,0,0
1,Indiana Pacers,Dallas Mavericks,3.100,2.200,0.025,-2.100,-7.200,0.021,5.100,9.300,0.009,3.100,3.600,0.009,1.100,2.300,3.400,1.700,0.700,1.300,1.900,0.400,7.200,9,-9,7,-7,2.710,-0.820,1.890,3,0,3.700,0.036,-0.094,0.011,1.200,3.100,0.032,-0.017,-0.800,-2.100,0.007,1,5.300,-0.018,0.800,3.800,-0.025,0.200,1.400,-0.009,1.800,1.800,0.017,1.800,-2.100,-0.200,1,1.600,1.600,0,0.100,4.500,0,0
1,Los Angeles Lakers,Houston Rockets,-1,0.200,-0.012,-5.500,-14.600,-0.011,4.500,14.700,-0.059,-3.300,-3.900,-0.012,0.500,-1.400,-0.900,-4.300,0,-0.400,0.100,0.800,-10.700,-29,29,-31,31,-12.650,0.500,-12.130,-8.700,4,-1.500,-0.045,-0.167,-0.044,0.200,0.400,-0.038,0.023,-0.200,0,0.019,0.300,-2.900,0.020,0.100,-1.700,0.027,0.200,-1.100,0.014,1,1.800,-0.016,-0.400,0.800,0.300,1.600,0,0.400,-0.600,-1.900,1.900,0,0
1,Memphis Grizzlies,Minnesota Timberwolves,-3.100,-0.800,-0.032,2.100,5.500,0.005,-5.100,-6.300,-0.034,-1,-0.800,-0.015,-0.600,1,0.400,-2.400,0,-0.300,-1.100,2.300,-5.100,12,-12,4,-4,1.600,0,1.600,-3.100,-4.900,-2.300,-0.007,0.067,-0.020,-0.800,-2.400,-0.010,-0.029,0.400,1.600,0.044,-4.700,-4.500,-0.032,0,1,-0.012,-4.700,-5.500,-0.036,2.600,4,-0.015,-0.500,2.200,1.700,-3,-0.700,0,0,0.300,-6.700,0,0
0,Milwaukee Bucks,Charlotte Hornets,1.100,-3.500,0.032,-1.200,-4.900,0.019,2.300,1.500,0.028,-2.200,-1.400,-0.047,0,-3.200,-3.200,1.100,1.100,0.500,2.500,3.600,-1.300,6,-6,-2,2,-0.380,0,-0.380,0.300,0.700,-1.200,-0.005,-0.045,0.026,2.500,1.600,-0.017,-0.005,1.500,-4.200,0.051,-1.500,-3.500,0.002,-1.600,-3.200,-0.016,0.100,-0.300,0.006,3.700,5,-0.005,1.400,-3.400,-1.900,-0.400,0.800,-0.900,1.600,-0.600,-0.900,0,0
0,New Orleans Pelicans,Denver Nuggets,-2.100,-0.700,-0.019,-1.200,-2,-0.018,-0.800,1.300,-0.024,-2,-1.900,-0.024,-3.200,0.500,-2.700,-2.500,0.900,1.600,-2.100,-0.900,-7.400,-6,6,-7,7,-2.610,0.220,-2.390,-8,-5.300,-0.300,-0.020,-0.021,-0.026,-1.500,-8.800,-0.022,-0.023,1.500,-1.900,-0.017,-2,0.600,-0.027,0.600,3.500,-0.022,-2.800,-2.900,-0.020,-1.300,-1.200,-0.020,1.200,6.300,7.500,-0.600,-0.900,-0.700,2,-0.900,-4.800,0,0
0,Orlando Magic,Miami Heat,-0.700,1.200,-0.015,-1.400,-0.900,-0.037,0.500,2.100,-0.008,0.800,-0.200,0.041,-0.800,0.300,-0.400,1,-0.100,-0.900,-0.100,-1.200,-2.100,-12,12,-20,20,-7.630,0.250,-7.380,-4.100,3.800,1.600,-0.005,-0.014,-0.023,-0.300,-2.600,0.007,0.027,-0.700,1,-0.019,2.400,2.200,0.017,1.900,3.700,0.024,0.500,-1.500,0.020,-1.100,-1,-0.016,-0.500,2.400,1.900,4,0.800,0.200,-0.700,0,5.500,0,0
0,Philadelphia 76ers,Oklahoma City Thunder,-1.800,-2.100,-0.010,1.700,4,0.013,-3.500,-6.100,-0.008,-2.200,-3.800,0.026,-2.400,-1.400,-3.800,2.800,0.500,0.100,1.700,1,-4.200,-19,19,-17,17,-6.460,-0.530,-6.970,-5.100,1.400,0.700,-0.037,0.054,0.001,1.700,-5.500,-0.021,0.001,1,-3.700,0.016,0.400,0.600,0.002,0.100,0.100,0.001,0.300,0.500,0.001,1.500,1.700,0.009,1.700,2.700,4.400,1.300,0.100,-0.100,1.300,-1.100,2.300,0,0
0,Phoenix Suns,Sacramento Kings,2,6.400,-0.011,-1.500,-1.300,-0.044,3.500,7.700,-0.005,2.300,3,0.001,3.200,0.800,3.900,-2.900,0.600,0.900,0.800,4.500,4.900,-8,8,-4,4,-1.750,-0.090,-1.850,-0.700,0.900,5.400,0.013,-0.036,-0.023,-0.300,5,0.011,-0.003,0.200,0.100,0.037,1.700,3,0.005,-0.800,-3.700,0.018,2.700,6.700,-0.013,3.900,4.900,0.005,0.100,1,1.100,-1.500,-0.400,0.200,0.900,2.100,6.600,0,0
1,Toronto Raptors,Detroit Pistons,-0.700,-4.400,0.015,1.100,0.900,0.033,-1.900,-5.500,0.013,5.800,5.400,0.077,-0.500,-2,-2.400,-2.600,1.300,1.100,0.800,2.900,5.600,14,-14,14,-14,5.330,-0.390,4.940,6.300,0.700,-0.300,0.075,0.026,0.025,0.900,0.900,0.076,-0.009,1.400,-4.900,0.026,-1.100,-0.400,-0.011,0.300,1.700,-0.012,-1.500,-2.100,-0.007,2.100,2.800,0,2.100,-3,-0.800,-1.700,0,0.700,1.800,2.800,0.100,0,0
1,Atlanta Hawks,Washington Wizards,-3.200,-2.600,-0.024,-0.300,1.300,-0.031,-2.900,-4,-0.014,0.800,2.800,-0.056,0,1.500,1.400,-0.300,-0.300,0.700,1.600,-3.100,-6,-6,6,-7,7,-2.650,0.070,-2.590,-6.300,-3.600,0,0.041,0.025,-0.024,1.400,-0.500,0.016,-0.017,0,0.600,-0.034,-0.900,2.200,-0.022,1,3.400,-0.007,-1.900,-1.300,-0.023,-2.600,-4,0.021,0.100,0.700,0.900,0.600,1.600,0.600,0.100,1.800,-3.400,0,0
1,Chicago Bulls,Boston Celtics,0,2,-0.010,-4.400,-11.100,-0.019,4.400,13.100,-0.036,-0.700,-0.700,-0.009,3.100,1.200,4.300,-2.600,0.300,0.700,0.300,-2.900,-5.100,-12,12,-6,6,-2.200,0,-2.220,-3.800,-1.400,-1.500,-0.014,-0.137,-0.038,0.100,5.800,-0.014,0.004,-0.200,1.500,-0.054,0.900,0.800,0.006,-0.100,-1.100,0.013,0.800,1.900,-0.002,-4.500,-5.900,0.001,-0.500,-0.900,-1.300,1,-0.300,-0.600,-0.500,-1.500,-3,0,0
0,Portland Trail Blazers,Los Angeles Clippers,0,2.900,-0.016,0.100,0.300,0,-0.100,2.600,-0.026,-0.800,-2.300,0.035,1.100,-0.500,0.700,-1.400,-0.500,0.800,0.700,1.400,-0.800,-10,10,-12,12,-4.810,0.170,-4.650,-2.400,2.600,0.600,-0.037,-0.007,-0.017,0.500,1.500,-0.019,0.002,-0.500,-0.100,0.030,0.600,0.800,0.003,0.100,-1.200,0.020,0.500,2,-0.008,2.800,3.100,0.013,-0.100,1,0.900,-2.500,0.700,2.200,-0.400,-2.600,4.100,0,0
0,Sacramento Kings,San Antonio Spurs,-1.400,-1.600,-0.008,-0.200,0.400,-0.015,-1.200,-2,-0.004,0.500,1.300,-0.022,-1.300,-1.600,-2.800,-1.300,-0.400,-1.900,1.200,2,-2.500,-29,29,-29,29,-11.080,0.640,-10.420,-3.800,7.800,0.700,0.021,0.010,-0.008,1.100,-3,0.010,0.036,-0.600,-1.300,0.035,1.500,-0.200,0.019,2.800,6.300,0.020,-1.300,-6.500,0.034,2.900,3.400,0.007,0.300,1.100,1.400,2.300,1,1,-0.400,0.300,8.600,0,0
1,Brooklyn Nets,Indiana Pacers,-1.500,0.700,-0.021,2.100,8.600,-0.038,-3.500,-7.900,0.008,1.500,2.500,-0.022,-0.200,2.100,1.900,-1.100,-1.000,-0.300,2.700,1.500,0.700,-22,22,-16,16,-6.510,0.410,-6.100,-4.500,1.900,5.400,0.028,0.099,-0.009,1.900,-1.600,0.016,0.001,-2,0.600,-0.013,3.600,6.500,0.007,-0.400,-1.900,0.011,4.100,8.500,-0.003,0.300,0.900,-0.017,0.300,2.700,2.900,0.700,1.400,0.600,-1.600,0.900,7.200,0,0
0,Dallas Mavericks,Houston Rockets,-4.100,-4.900,-0.022,-3.700,-10.100,-0.002,-0.400,5.300,-0.063,-5.500,-8,0.035,-3,-2.800,-5.800,-4.400,-0.700,-0.600,-3.200,-0.800,-17.400,-22,22,-22,22,-8.700,0.320,-8.370,-9.100,-0.200,-7.800,-0.079,-0.096,-0.040,-1.700,-6.500,-0.053,0.010,1.200,1.800,0.024,-4.200,-9.900,0.006,-0.400,-3.800,0.037,-3.800,-6,-0.012,-0.100,0.100,-0.006,-1.800,2.200,0.400,-2.800,-2,-1.600,-0.200,-1,-8.800,0,0
